"","baseMean","lgFC_LMoDC_vs_LcDC","lfcSE","stat","pvalue","padj"
"Psmb10",657.698095878479,1.07888331202468,0.121996652607624,8.84354848238886,9.27257414824608e-19,1.99430325878976e-16
"Egr1",475.47044804592,1.48184114338594,0.167631773027078,8.83985843868975,9.58399569745077e-19,2.02311049917113e-16
"Psmb9",523.098911723988,1.35639524554362,0.153961415188581,8.80996867872529,1.25180831156379e-18,2.59442962609376e-16
"Helz2",695.200766303113,1.47452246918679,0.16742388174451,8.80712150394961,1.28400488634351e-18,2.61363780346959e-16
"Slfn1",219.241654793858,1.73117993193196,0.197846237631673,8.7501281432244,2.13110613040152e-18,4.26183838253454e-16
"Lgals9",594.973123284693,1.41413732993141,0.161680480962752,8.74649383469609,2.20084293189213e-18,4.32541527252387e-16
"Adar",311.062512457445,0.975451387548041,0.111989305077443,8.71021913095629,3.03287916189607e-18,5.85962535024633e-16
"Mt2",263.365589459422,-1.68513240194282,0.194994976485531,-8.6419272553304,5.5272619261e-18,1.0500876449269e-15
"Oas1b",53.5520071982406,1.94177073361979,0.225503926583978,8.6108067519466,7.25481967329778e-18,1.35569982714625e-15
"Trim25",227.059296166164,1.07187997187164,0.124778881366276,8.59023546400644,8.67912748945914e-18,1.59569958471524e-15
"Znfx1",185.610657412379,1.46319296531559,0.171053029781814,8.55403126844324,1.1886268746998e-17,2.15065995947666e-15
"Epsti1",514.92854689997,1.33965364710605,0.15806665460934,8.47524514526479,2.34585025659825e-17,4.17817923046304e-15
"Tap2",473.015308222587,0.709032506718179,0.0841427597909892,8.42654208727426,3.56029794309244e-17,6.24366711589395e-15
"Dtx3l",87.3662482099768,1.53761659646456,0.182801214903931,8.41141344313623,4.05099067848548e-17,6.99655193091757e-15
"Trim21",77.5675351680854,1.66042541395967,0.198592220435329,8.36097914772235,6.21998409263136e-17,1.05823281599858e-14
"Tpst1",113.389443129301,1.41122806075636,0.169302304873059,8.33555137843215,7.71378713523067e-17,1.29308028756609e-14
"Mrpl30",479.847884298499,0.799474618323064,0.0969409905713175,8.24702340683126,1.62388619392002e-16,2.68270706152092e-14
"Sqle",126.094064465182,-1.38686617790629,0.168484104460221,-8.2314363265867,1.84981842883587e-16,3.01229718147144e-14
"Oas1a",32.2907564078742,2.80760813091788,0.341320621811456,8.22572077836185,1.94020526667622e-16,3.1149858922313e-14
"Lgals3bp",608.893444851235,1.71675305630753,0.210592815827681,8.1520020023488,3.57948370016074e-16,5.66701870807392e-14
"1600014C10Rik",221.128927286201,1.71815675026255,0.211061182335851,8.14056251958512,3.93445606199345e-16,6.14368008913197e-14
"Slc44a2",233.234779146712,1.09046724595781,0.134699543016582,8.09555267625201,5.70049386531326e-16,8.7810715636089e-14
"Slc25a22",143.397698652819,1.42860639612218,0.179023335609826,7.98000099403671,1.4633211224703e-15,2.22405299667187e-13
"H2-T23",1012.4855121793,1.5027653997713,0.188724198322242,7.96275948251938,1.68244299416375e-15,2.52344311716745e-13
"Abi3",233.873404581638,1.10701822667745,0.139104503038755,7.95817678432042,1.74592783287411e-15,2.58465342427688e-13
"Stat1",1853.53651027318,1.2398191949284,0.156038116679708,7.94561752801287,1.93225754934341e-15,2.82382100063661e-13
"Ifi213",48.8394346704361,3.10248202729789,0.392458532645516,7.90524799240427,2.67400714739843e-15,3.85835537635376e-13
"Psme2",1451.8310604619,0.801216615439322,0.101495532978445,7.89410717818959,2.92400814926879e-15,4.16634611168937e-13
"Gadd45a",334.307173061777,-1.31114992101114,0.166148012076399,-7.89145716897435,2.98678339850972e-15,4.20325234069288e-13
"Atf5",336.35494604694,-1.49611154621526,0.190700864422159,-7.84533174901237,4.31810427941457e-15,6.00269154646911e-13
"Dusp2",586.522530591985,1.1298872703002,0.147124127758111,7.67982306857147,1.59308463860489e-14,2.18790021632014e-12
"Parp9",305.793839156574,1.21096075985837,0.158041072721429,7.66231675732087,1.82608573187941e-14,2.47804181639207e-12
"Il17f",72.2025661191918,1.95192615915856,0.257247483660728,7.58773664714587,3.25541705003751e-14,4.36570575922089e-12
"Niban1",225.137361839437,-0.952583534849717,0.125826037885472,-7.57063920042343,3.71392227427257e-14,4.92267441912012e-12
"Hmox2",357.714570762672,0.978355598478822,0.129608485299192,7.54854588586818,4.4014464116394e-14,5.76690662600891e-12
"Cnp",326.229133853217,1.25035253241777,0.165699036144241,7.54592519976604,4.49087764149889e-14,5.81721752675521e-12
"Phf11a",47.1013874322974,3.32076022110911,0.440758934564486,7.53418696864388,4.91386776739337e-14,6.24999138069743e-12
"Rnf31",163.823150634836,0.916356410834443,0.12163533607113,7.53363652728823,4.93463658446152e-14,6.24999138069743e-12
"Gbp9",135.244646386942,1.42887305404531,0.190777863548512,7.48972143553736,6.90199451654187e-14,8.64569620813855e-12
"Trib3",136.683893684128,-1.82938809759902,0.244440963437145,-7.48396697458372,7.21120839580089e-14,8.93484396779721e-12
"Cyb5a",295.253119110768,-1.12150364411489,0.150388274510993,-7.45738753743671,8.82548359173892e-14,1.08173857486271e-11
"Stat2",499.108920399639,1.23703190300775,0.166137693172462,7.44582327698281,9.63417025929067e-14,1.16829688069845e-11
"Irgm1",762.32000530368,1.5742186583236,0.212179028900119,7.41929429352156,1.17746019970787e-13,1.41282829647053e-11
"Srxn1",157.5733381689,-1.62863182696895,0.22118226640842,-7.36330201066678,1.7941582625645e-13,2.13037604530966e-11
"Tagap",111.457160841589,1.1393446202156,0.155153308081697,7.34334726279683,2.08317098384374e-13,2.44804804585925e-11
"Slfn4",108.988407882458,3.78744125431058,0.515959560495103,7.34057772023109,2.12673830344313e-13,2.47374386948452e-11
"Ly6e",6060.50755839882,0.902419339240687,0.123119888642199,7.329598403579,2.30843427760231e-13,2.65796387175644e-11
"Usp25",235.441388336875,0.891771351599373,0.122242533691753,7.29509872437744,2.98440162335492e-13,3.40191941046227e-11
"Ppfibp2",161.621792828053,-1.53478623756768,0.211661473438389,-7.25113650885754,4.1328887658319e-13,4.66443554868494e-11
"Ogfrl1",317.261163456881,0.765005137749713,0.106128151722397,7.20831490357772,5.66485061397819e-13,6.33074824987622e-11
"Gm12250",45.7433641323688,1.90030078314842,0.265904379035352,7.14655693163959,8.89814951575796e-13,9.84757343010923e-11
"Herc6",26.677613224101,2.92357802201235,0.409694056520768,7.1360030136638,9.6083904283756e-13,1.05313502397167e-10
"Tmem184b",167.065010195923,1.14726936868648,0.161038808677639,7.12417943294051,1.04702571265895e-12,1.13667105700947e-10
"Ccl17",991.427766291262,-3.02263013993883,0.429330390884077,-7.04033584418433,1.91777025296525e-12,2.06232670882555e-10
"Syngr2",688.2027928418,0.673586154557963,0.0957952168489796,7.03152178902488,2.04292954141584e-12,2.17638820958871e-10
"Ifi203",198.820086213589,1.6445835568531,0.235629961410997,6.97951799934531,2.96194483875919e-12,3.12622307564963e-10
"Saa3",2442.00596560494,1.82738402763627,0.2620372341236,6.97375712176199,3.08586650992329e-12,3.22713691253354e-10
"Slc6a9",115.237703809843,-1.46644383413609,0.210366030834754,-6.97091554333695,3.14884973967086e-12,3.26306710750073e-10
"Igtp",652.660038969884,1.68401571744331,0.241792619826197,6.96471099346953,3.29078599271046e-12,3.37942968746906e-10
"Ehd4",121.733581379111,1.19940958938708,0.172811586011728,6.94056236082272,3.90542130123985e-12,3.97481226900295e-10
"Rabepk",118.449930407593,1.0443052156166,0.150631713551517,6.93283765413348,4.12481487670902e-12,4.16095263536338e-10
"Svbp",188.431823439112,0.8759600562881,0.126578670337111,6.92028170271655,4.50746406328021e-12,4.50706867169572e-10
"Psme1",1681.37077187956,0.710770269118936,0.103145799759459,6.89092789795112,5.54296298322972e-12,5.49428130833353e-10
"Pml",497.474620394162,1.04233312789741,0.151332766136458,6.8876896557718,5.67057480296006e-12,5.57231742921911e-10
"Aldh3a2",207.096440109934,-0.841631973137229,0.122622165706794,-6.86362019693639,6.71369839576935e-12,6.54097846268161e-10
"Rsad2",61.8657936160313,3.19329761831178,0.465756368479176,6.85615449282806,7.07388753486065e-12,6.83349525507428e-10
"Tusc1",61.4555247123311,-1.45633319232046,0.213953538010749,-6.80677312401956,9.98121459586695e-12,9.56099707380566e-10
"Ifrd1",236.252939390056,-1.09074563222387,0.160276999945423,-6.80537839237871,1.007839818375e-11,9.5736384080472e-10
"Msmo1",97.8174914388316,-1.24111068603152,0.182698620922734,-6.79321321509264,1.09663118245164e-11,1.03309907841044e-09
"Prr5",47.5521695683767,1.4657255835621,0.216902693318439,6.75752597230429,1.40367886411447e-11,1.31151929279023e-09
"Ogfr",376.68577817248,0.806285394065223,0.119746182978096,6.73328680725224,1.65872637341418e-11,1.53722129516653e-09
"Shfl",98.16720127459,1.17972631956368,0.175371735688618,6.72700372686254,1.73192306617279e-11,1.59211217994384e-09
"Slco4a1",183.42079084526,-0.803912016278114,0.119823572394377,-6.70913076796099,1.95787157215475e-11,1.78542224407936e-09
"Tbcel",138.415099540638,-0.927659120017348,0.138341367657216,-6.70558008589242,2.00607832361871e-11,1.81486403261346e-09
"Gdf15",182.882362300224,-2.81941505272137,0.420929795868632,-6.69806480889102,2.11197605564131e-11,1.89562323293348e-09
"Trim30d",32.3618134947542,2.06318488569375,0.309701086932095,6.66185871716402,2.70385895750666e-11,2.40791314504831e-09
"Cxcl2",2382.86989717377,-2.99904394206657,0.451521392658112,-6.6420860469338,3.0927431071216e-11,2.73288206806815e-09
"Ddx60",34.7088264833525,2.7517658473936,0.415400575968836,6.62436695225006,3.48739459781844e-11,3.05790854004095e-09
"Ifit1bl1",58.0656600283581,3.17903205752039,0.480463582315472,6.6165931707037,3.67571242851236e-11,3.19843099027575e-09
"Ifih1",107.875906674239,1.75413386429842,0.265223391677477,6.61379772426531,3.74583501952775e-11,3.23475555966643e-09
"Slc7a11",81.3576807868223,-1.74909234698473,0.26474913772618,-6.60660262015187,3.93239716733418e-11,3.37033047446935e-09
"Anxa6",269.716124545169,1.19824553293279,0.181445181559433,6.60389833796882,4.00484213629531e-11,3.40680563519628e-09
"Nos2",142.867922948246,2.95440899371524,0.447882253926694,6.5963966373153,4.21270962167382e-11,3.55708718351554e-09
"Ly86",673.930430776996,1.21286196082857,0.184021959318524,6.59085451171194,4.37302260204707e-11,3.66530034123048e-09
"Tdrd7",124.553452614398,0.845464243592676,0.12866932816675,6.57082970462852,5.00356592420605e-11,4.16318598321349e-09
"Abhd17a",383.728913426422,0.763610550368228,0.116233794667482,6.56960871451149,5.04476513743043e-11,4.16704911605576e-09
"Acat2",85.1076403211642,-1.34025369309668,0.204721478647177,-6.54671753034041,5.88154563903778e-11,4.82329055679077e-09
"Slfn5",52.0052700353225,2.79888808543324,0.427871902320492,6.54141594774964,6.09390804704364e-11,4.96174698773217e-09
"Atf4",1701.04574795416,-0.731421280096617,0.111848416419249,-6.53939772696449,6.17670632680301e-11,4.99349471058351e-09
"Shisa5",2037.56137357955,1.05902564079524,0.16219562203915,6.52931088694625,6.60729786600518e-11,5.30398509680232e-09
"Ly6d",1039.06800218052,0.967977382846315,0.148370078943743,6.52407405682744,6.84228981820569e-11,5.45421410054033e-09
"Degs1",382.636356247767,-0.743036572841407,0.11415730341398,-6.50888336199444,7.57114786029193e-11,5.99329961524082e-09
"Ifi47",425.331946571362,1.79684582628156,0.276346755202062,6.50214193746448,7.91843320311158e-11,6.22498069532889e-09
"Phf11c",64.7640322570459,2.06944691561944,0.319042020350845,6.48643997848216,8.78882685666224e-11,6.86190666706116e-09
"Trp53i11",167.83940349556,1.22960639618036,0.189993172682251,6.47184516591438,9.6813302112372e-11,7.50731177400632e-09
"Plaur",313.867254204363,-1.19813986803657,0.185446960942359,-6.46082233943418,1.04135519867152e-10,8.02054588490315e-09
"Casp8",242.324369111046,0.905315581341833,0.140702890828402,6.43423582850146,1.24096060738427e-10,9.4304733090489e-09
"Gbp7",158.961046478306,1.55473839707845,0.241601413488881,6.43513783560709,1.2336133231542e-10,9.4304733090489e-09
"Dbnl",505.172018033,0.628411953937882,0.097798523014503,6.42557714133057,1.31370123108335e-10,9.91713929345639e-09
"Gm20559",94.0080424575603,1.34544137302228,0.210071368063459,6.40468706147448,1.5067811205068e-10,1.12998671004323e-08
"Slfn2",633.013217573367,1.13568694156132,0.177389676911357,6.4022155140901,1.53138292977318e-10,1.1409303278748e-08
"Gbp6",19.9036070577312,2.44798731115529,0.384107329807297,6.37318562075717,1.85141576220683e-10,1.37040832944128e-08
"Ifi204",76.5983699210414,2.23062472310496,0.350474964685756,6.36457649722567,1.95829304606398e-10,1.4401666085215e-08
"Gsdmd",238.318393731145,1.12809429037812,0.178064495360446,6.3353128769134,2.36860122856771e-10,1.73074906438739e-08
"Prdx6",1051.3551987355,-0.886943179858353,0.140461548246345,-6.31449098298995,2.71052125757885e-10,1.96797654873511e-08
"G0s2",135.231871175144,-1.55439492183808,0.246493792364821,-6.30602055705123,2.86301026005441e-10,2.06553506040254e-08
"Slc40a1",39.967008781898,-1.58259994838873,0.25167131781899,-6.28836039841053,3.2083639427885e-10,2.30013462791485e-08
"Mdm2",272.690836811197,-0.728042181854981,0.115984516370942,-6.27706356533449,3.45027052955903e-10,2.45810211040271e-08
"Htatip2",102.19244836758,-0.89415660851923,0.142803867371824,-6.26143132518311,3.81459804808861e-10,2.70078280435789e-08
"Gvin-ps7",356.606934860658,0.963054198389459,0.153831689172432,6.2604408985587,3.83890545573264e-10,2.70121501789484e-08
"Myo1d",100.336772794528,-1.19860387219008,0.191635543067747,-6.25460106722659,3.98533308171263e-10,2.78704366861609e-08
"Gars",621.399246194264,-0.633556817251174,0.101344690701952,-6.2515047691489,4.06516685408071e-10,2.8231036818136e-08
"Sp140",279.461568307893,1.0217708078092,0.163465279590827,6.25069011821231,4.08642957714926e-10,2.8231036818136e-08
"Vcam1",44.3712161005104,2.60761620929666,0.41929725968176,6.21901562456144,5.00283493396064e-10,3.43538044651912e-08
"Nlrc5",279.285970476555,0.983115170268663,0.159004825377267,6.18292663720143,6.29239617372869e-10,4.29503137630739e-08
"Aacs",130.42949771356,-0.973327510289717,0.157481273913868,-6.18059205453253,6.38616447599176e-10,4.33308862272798e-08
"Ndrg1",73.9255882618325,-1.24431966418172,0.201922154081356,-6.16237316723738,7.16627254130695e-10,4.83362962712177e-08
"Mitd1",121.297372498655,0.914492436733376,0.148626614645852,6.15295207330419,7.60537941746837e-10,5.09963058704247e-08
"AW011738",14.2068699336382,2.78519025857426,0.453524705182222,6.14120956752554,8.18954521386048e-10,5.45921788846758e-08
"Agrn",56.1080686942347,1.47258498132574,0.239944723816267,6.13718425604285,8.39969431444458e-10,5.56675090060196e-08
"Tgfbi",242.395170347387,1.25215195654157,0.204639091436081,6.11883070704835,9.42644833013251e-10,6.2111031511665e-08
"Cnppd1",374.347819783057,-0.763563530221598,0.125603768685676,-6.07914506237802,1.20825016211175e-09,7.91542735512177e-08
"Zup1",117.136131288166,1.15043979485665,0.189451885806352,6.07246420356341,1.25962183205389e-09,8.20481672204699e-08
"Irag2",383.985649219969,0.817565414174495,0.134656334051185,6.07149615304188,1.26723997963541e-09,8.20753893628636e-08
"Sipa1",482.71493572106,0.692808122504703,0.114367446037386,6.0577388628424,1.38048261622348e-09,8.89046403521553e-08
"Oas1c",34.2586218824868,2.00270147470821,0.332996524926905,6.01418130458813,1.80798073046631e-09,1.15781867115649e-07
"Cebpg",189.914016251682,-0.666382042862926,0.11110818667401,-5.99759624210306,2.0025968213255e-09,1.26820006479386e-07
"Stxbp5",98.4566421100472,-0.979289341553182,0.163275594515075,-5.99776925915752,2.00046492851045e-09,1.26820006479386e-07
"Pdcd1",39.6002451693011,1.37536785401553,0.229719883358124,5.98715197792168,2.13547228815846e-09,1.34487561396233e-07
"Hipk3",59.2118016563066,-1.27364750357606,0.213516611169185,-5.96509796873299,2.44487306103868e-09,1.53126967158131e-07
"Stat3",640.686205015901,0.612045435363807,0.10274502521034,5.95693498649524,2.57012424739874e-09,1.60092056262832e-07
"Vars",582.636446772177,0.503584200809843,0.0847175902853491,5.9442696506552,2.77692158781235e-09,1.72033310758005e-07
"Nmral1",52.3506021315251,1.6071702457669,0.271324300508332,5.92342905797907,3.15296781554412e-09,1.94273946645337e-07
"Hmgn3",135.728639356529,1.07255773220662,0.181285132759449,5.91641308848982,3.29038211688425e-09,2.01650891130987e-07
"Ank",68.1576500368838,-1.36669533534617,0.231281147715185,-5.9092379506401,3.4369394194421e-09,2.08869622035577e-07
"Gclc",219.741021057872,-0.700050078008928,0.118474629137111,-5.90886068272693,3.44481875100347e-09,2.08869622035577e-07
"Arl8a",257.542843597837,-0.739124009764072,0.125340206407037,-5.89694265672261,3.70298474315939e-09,2.23335042789809e-07
"Phf11d",24.7032788669583,2.48637494823641,0.422145202513828,5.8898571710168,3.86529541040369e-09,2.31897380964167e-07
"Tle5",631.257655553692,0.807981128167203,0.137621311875445,5.87104654908734,4.33052646322041e-09,2.58448540074605e-07
"Sesn2",195.880009168083,-0.674120351144862,0.1148563077863,-5.8692497098124,4.37771677523317e-09,2.59904132921265e-07
"Mthfd2",501.640283161511,-0.777585483895326,0.133277287454782,-5.83434356104481,5.40027475770988e-09,3.18951979083601e-07
"Il17a",53.8650723924332,1.81115057251265,0.310675569063385,5.82971676199984,5.55215332556689e-09,3.26231936897613e-07
"Raf1",422.850547263179,-0.579201518282705,0.0994648611742443,-5.82317726526606,5.77392558589792e-09,3.37522962839233e-07
"Plxnb2",35.1873268814931,1.53547537480873,0.26387473031066,5.81895573327924,5.92164127412073e-09,3.44391780018889e-07
"Ppdpf",267.286082644329,1.17783428256452,0.20294089138168,5.8038292556295,6.48172833474267e-09,3.75051884709298e-07
"Ifit2",145.977205847247,2.93749526007273,0.508410360446864,5.77780369678311,7.56820335203991e-09,4.35706818231833e-07
"Pdcd6ip",548.463569921268,-0.505250134749821,0.0874611872431275,-5.77684971672417,7.61122103502783e-09,4.35981450142122e-07
"Ifi211",35.7288685786983,2.83737312683969,0.493116617628258,5.75395966269926,8.71769661085221e-09,4.96865118335522e-07
"Rragc",360.893424816098,-0.615324405077817,0.107222151659239,-5.73878061161622,9.53606553986992e-09,5.40804035268543e-07
"Gbp2",488.19652537971,1.19375509722981,0.208395923868279,5.72830348632127,1.01439971453102e-08,5.72432789402925e-07
"Hp",1655.48555405423,1.64891255228112,0.288205956333905,5.72129935569671,1.05712448030148e-08,5.93604036992935e-07
"Pnpt1",58.0663393272191,1.28497898882577,0.225629892919791,5.69507423062318,1.23318256333157e-08,6.85709660459344e-07
"Ptgs2",60.2839506068439,-2.65808898533419,0.46670237066256,-5.69546921641003,1.23033083826997e-08,6.85709660459344e-07
"H2-Oa",323.416996179799,0.970109781741869,0.170413310223797,5.69268785676343,1.25054885691652e-08,6.91990602912203e-07
"Itsn1",33.1138364166496,-1.61579070928022,0.285412206742369,-5.66125299167296,1.50271691850206e-08,8.27510635459181e-07
"Cxcl3",1035.61986191488,-2.05769443445867,0.363560027127765,-5.65984784057554,1.5150726652429e-08,8.28646779305345e-07
"Erbin",350.792358692573,-0.568561781899965,0.100463838510012,-5.65936749314334,1.51931903565942e-08,8.28646779305345e-07
"Hsd17b7",33.9313923645694,-1.62059897860223,0.286733068875982,-5.6519430596377,1.58644149094514e-08,8.61135550251604e-07
"Snhg6",388.306424756267,-0.93407279959136,0.165636969014228,-5.63927730113877,1.70765345223161e-08,9.22537521421239e-07
"Ldlr",264.412409954378,-1.09943830210847,0.196728447598075,-5.58860864065105,2.28896158036104e-08,1.23074872898752e-06
"Hmgcs1",256.536286413702,-1.37770155644453,0.248444314893446,-5.54531327084466,2.93428333681965e-08,1.57032374443226e-06
"Parp11",80.7660927343592,0.978194546381364,0.176920325359687,5.52901168586847,3.22039894816503e-08,1.71538914066043e-06
"Themis2",259.013815966903,0.955581380646071,0.173505018729948,5.50751435111734,3.63935750599427e-08,1.92060352827911e-06
"Washc5",131.314551463811,-0.769194191357648,0.139662215494071,-5.50753250359473,3.63898236974663e-08,1.92060352827911e-06
"Unc93b1",414.854197508537,0.635342272178018,0.115376583916875,5.50668299068173,3.65657852218387e-08,1.92079901264396e-06
"Ly6c1",26.6782613732201,1.87749127263657,0.342882707503341,5.47560793108318,4.36012107300363e-08,2.26945297311271e-06
"Zbtb32",87.6748460054695,1.4860339470687,0.2713586247731,5.47627313600688,4.34377042659261e-08,2.26945297311271e-06
"Mid1ip1",140.264758040735,-0.887107280180578,0.162191607483622,-5.46950174515138,4.51302479894204e-08,2.33836225832456e-06
"Abcc1",273.716217214868,-0.623511327317152,0.114108162981063,-5.46421317308061,4.64964517406552e-08,2.39824911036981e-06
"Pdlim2",171.012554578069,0.691760551248499,0.126627532534039,5.46295530999586,4.68272518589723e-08,2.40443172946138e-06
"Mt1",749.632733617569,-0.964128365295409,0.176758563377942,-5.4544931055698,4.91127405007232e-08,2.51047591465356e-06
"Glud1",419.491728499883,-0.566095127716117,0.103829715872509,-5.45214944449253,4.97646064013306e-08,2.532440840932e-06
"Tap1",1264.02820859049,0.653953267303882,0.120042768499165,5.44766898897729,5.10342201199252e-08,2.58550700065345e-06
"Psme2b",126.354075479605,1.01586977802999,0.187162202607398,5.42775070969291,5.70686723034868e-08,2.87843272383826e-06
"Nrg1",58.8513259889513,-1.55548452650146,0.286793883145566,-5.42370189154961,5.83772105963505e-08,2.93146177791982e-06
"Yeats4",281.132767847665,-0.632131019591991,0.116864263154283,-5.40910456738564,6.3340640649097e-08,3.16675422262744e-06
