"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Penk",1.37,1.43,0.56,0.58,0.39,-0.38,0.31,-0.5,-1.02,-1.28,-1.46
"Nectin2",1.16,0.9,1.41,0.82,-0.56,0.09,-0.16,0.1,-1.07,-1.36,-1.35
"Adam17",1.01,1.15,1.23,1.23,-0.59,0.02,-0.37,-0.17,-1.16,-1.18,-1.17
"Il18",1.01,1.2,1.44,1.09,-0.47,-0.25,-0.38,-0.47,-0.65,-1.1,-1.42
"Agrn",1.03,1.37,1.09,1.29,-0.67,-0.19,-0.48,-0.48,-0.87,-0.65,-1.45
"Insl6",1.96,0.35,0.52,0.61,-0.81,0.79,0.01,0.02,-0.87,-1.25,-1.33
"Mmp13",1.95,0.15,0.94,1.34,-0.71,-0.64,-0.14,-0.44,-1.1,-0.29,-1.04
"Copa",1.63,0.66,0.88,0.88,-0.34,-0.09,-0.37,-0.28,-2.13,-0.66,-0.19
"Arf1",1.77,0.96,0.85,0.77,-1.06,-0.09,-0.74,-0.38,-1.51,-0.7,0.12
"Nppc",2.36,1.15,0.24,0.23,-0.12,-0.65,-0.88,-0.9,-0.01,-0.78,-0.63
"Il13",1.57,1.73,0.48,0.79,-0.71,-0.68,-0.65,-1,0.07,-0.88,-0.72
"Thbs4",1.71,1.01,1.2,0.91,-0.9,-0.75,-0.86,-0.88,-0.14,-0.73,-0.57
"Ccl12",1.4,1.15,1.32,1.02,-1.04,-0.76,-0.85,-0.88,-0.18,-0.7,-0.49
"Icosl",1.7,1.11,1.11,0.65,-0.62,-1.01,-1.42,-0.68,0,-0.51,-0.33
"Il12b",1.63,1.06,1.18,0.95,-0.39,-0.65,-1.19,-1.04,-0.43,-0.37,-0.75
"Hdc",1.83,1.01,0.9,1.02,-0.69,-0.75,-1.07,-0.93,-0.16,-0.4,-0.74
"Hbegf",1.16,0.86,1.3,1.29,0.27,-1.35,-0.89,-0.89,-0.44,-0.57,-0.73
"Serpine1",1.8,0.93,0.96,0.86,0.12,-1.41,-0.9,-0.46,-0.62,-0.73,-0.54
"Cxcl2",1.02,1.2,1.23,1.16,0.37,-0.6,-1.02,-0.98,-1.2,-0.42,-0.75
"Cxcl1",0.97,1.29,1.19,1.16,0.37,-0.69,-1.14,-1.15,-0.78,-0.43,-0.78
"Ptgs2",0.89,1.15,1.32,1.21,0.37,-0.62,-1.21,-1.18,-0.72,-0.48,-0.73
"Il12a",0.57,1.34,1.4,1.32,0.21,-0.8,-0.86,-1.01,-0.48,-0.6,-1.07
"Jag1",0.98,1.36,1.19,0.91,0.47,-0.48,-1.07,-1.05,-0.22,-0.99,-1.1
"Flrt2",0.66,1.38,1.46,1.19,-0.28,-0.11,-0.82,-1.32,-0.55,-0.79,-0.81
"Tnfsf4",1.01,1.18,1.24,1.27,-0.15,-0.42,-1.07,-1.41,-0.45,-0.31,-0.89
"Nampt",0.58,1.32,1.39,1.3,-0.3,-0.39,-0.99,-1.43,-0.63,-0.06,-0.79
"Cxcl10",1.23,1.17,1.22,1.18,-0.57,-0.5,-1.25,-1.23,-0.51,-0.17,-0.57
"Artn",0.93,1.4,1,1.41,-0.43,-0.69,-1.12,-1.01,0.1,-0.82,-0.77
"Il6",1.1,1.06,1.22,1.39,-0.05,-0.82,-1.12,-1.14,-0.34,-0.54,-0.76
"Lta",1.06,1.08,1.4,1.27,-0.21,-0.84,-1.15,-1.05,-0.23,-0.52,-0.8
"Il1rn",2.07,0.58,0.92,0.75,0.27,-0.77,-0.77,-0.64,-1.29,-0.42,-0.7
"Il1b",1.54,0.61,0.83,1.23,0.81,-0.66,-0.62,-0.79,-0.97,-0.76,-1.2
"Ccl2",1.74,0.81,0.97,1.21,0.06,-0.72,-0.79,-0.67,-0.76,-0.92,-0.94
"Flrt3",1.69,0.83,0.86,1.16,0.24,-0.69,-0.44,-0.56,-0.72,-1.17,-1.21
"Cd86",1.48,0.45,1.09,0.86,0.94,-0.56,-1.12,-1.43,-0.17,-0.74,-0.78
"Gmfb",1.3,0.58,0.96,1.21,0.62,-0.41,-0.72,-1.26,-0.87,0.05,-1.47
"Cd34",1.01,-0.46,-0.54,0.46,-0.74,-1.17,-0.59,-0.9,-0.27,1.72,1.47
"Vwf",0.42,0.08,-0.16,0.03,-1.46,-0.7,-0.79,-1.16,1.83,0.97,0.94
"Pdgfb",-0.59,1.09,0.46,0.53,-1.73,-0.81,-0.71,-0.93,1.49,0.56,0.64
"Lgals3",-0.36,0.75,0.01,0.45,-2.35,-0.32,-0.39,-0.39,1.18,0.11,1.32
"Jam2",1.39,-0.77,0.07,2.31,-0.24,-0.37,-0.7,-0.88,0.25,-0.35,-0.7
"Csf2",1.75,-0.68,1.17,1.51,-0.93,-0.52,-0.89,-0.52,-0.08,-0.78,-0.02
"Gzmb",1.65,-0.54,1.5,1.32,-0.76,-0.3,-1.2,-0.71,-0.12,-0.42,-0.42
"Fn1",1.98,0.25,0.23,0.18,-0.12,-1.31,-1.09,-1.5,0.75,0.44,0.19
"Plat",2.36,0.24,0.41,0.4,0.83,-0.95,-0.92,-0.65,-0.18,-0.75,-0.77
"Sema7a",2.53,-0.18,0.45,0.48,0.26,-0.81,-0.68,-1.02,0.25,-0.77,-0.51
"Ereg",2.32,0.46,0.05,1.17,-0.24,-0.67,-0.64,-0.96,0.04,-0.84,-0.69
"Ccl22",2.04,0.3,0.67,0.86,0.25,-0.57,-1.08,-1.24,0.39,-0.86,-0.76
"Il1a",1.86,0.86,0.61,1.2,-0.1,-0.89,-0.86,-0.98,0,-0.97,-0.73
"Ccl17",1.78,0.61,0.71,1.24,-0.35,-0.79,-1.05,-1.29,0.32,-0.39,-0.79
"Camp",1.86,0.04,1.06,0.78,0.16,-0.96,-1.31,-1.26,0.18,0.16,-0.7
"Il33",2.03,0.5,1.13,0.92,-0.72,-1.06,-0.83,-0.67,-0.14,-0.44,-0.73
"Areg",1.68,0.39,1.53,0.75,-0.03,-0.98,-0.96,-0.98,0.2,-0.87,-0.72
"Xcl1",0.93,-0.91,1.47,1.24,-1.06,-0.72,-0.83,-0.59,-0.21,1.25,-0.56
"Cxcl11",1.2,-0.16,1.53,1.5,-1.01,-0.61,-0.98,-0.99,0.19,0.08,-0.74
"Ifng",0.78,0.28,1.49,0.99,-1.07,-0.82,-0.77,-1.24,0.46,0.94,-1.04
"Sell",1.38,-0.02,1.35,0.48,-1.6,-0.12,-0.74,-0.73,0.53,0.73,-1.25
"Ltb",1.61,-0.57,1.16,0.78,-0.91,-0.58,-1.26,-0.96,0.89,0.49,-0.64
"Ccl7",2.39,0.41,0.75,0.81,-0.62,-0.66,-0.85,-0.66,-0.3,-0.78,-0.5
"Tnfsf8",2.1,0.35,1.1,0.95,-1.05,-0.67,-0.68,-0.33,-0.37,-0.95,-0.45
"Timp1",2.43,0.43,0.66,0.63,-1.02,-0.65,-0.58,-0.07,-0.38,-0.93,-0.52
"Il10",2.53,0.16,0.99,0.21,-0.36,-0.95,-0.72,-0.57,-0.16,-0.67,-0.47
"Cd70",2.66,-0.08,0.52,0.23,-0.82,-0.8,-0.78,-0.44,-0.05,-0.67,0.22
"Clstn1",1.5,1.05,0.74,0.71,-0.36,-0.4,-1.17,-1.43,-0.82,-0.67,0.85
"Selp",1.59,0.1,1.15,0.03,-0.98,-0.96,-0.94,-0.67,0.03,-0.84,1.49
"C3",1.35,0.07,0.19,-0.31,1.26,0.67,0.25,0.27,-0.37,-1.54,-1.84
"Ebi3",1.51,-0.04,-0.53,-0.91,0.57,0.58,1.02,1.1,-0.94,-1.33,-1.01
"Flt3l",-0.04,-0.75,-1.05,-1.56,1.3,0.68,1.07,0.83,-1.26,0.28,0.5
"Mif",0.41,-0.7,-0.34,-0.89,2.28,0.42,0.43,0.86,-0.59,-1.01,-0.87
"Nucb2",-0.03,-0.5,0.19,-0.23,1.13,0.73,0.75,1.38,-2.12,-0.71,-0.6
"Gas6",-1.64,-0.42,-0.44,-0.49,-1.64,0.9,1.01,1.05,0.24,0.61,0.81
"Cd320",-2.11,-0.36,-0.87,-0.25,-0.2,0.09,0.75,0.34,0.01,1.78,0.83
"Dchs1",-0.9,-1.02,-1.05,-1.06,-0.69,-0.28,1.24,1,0.55,1.3,0.91
"Celsr1",-0.41,-0.66,-0.73,-0.75,-0.33,0.58,-0.15,-0.71,2.3,1.34,-0.48
"Cfh",-0.67,-0.79,0.1,-0.83,-0.55,0.09,0.16,-0.48,2.75,-0.11,0.33
"Nectin1",-1.1,-1.7,-0.56,-0.82,-0.52,0.88,0.39,0.82,1.52,0.32,0.78
"Hebp1",-1.6,-0.98,-0.91,-0.81,-0.13,1.01,0.45,0.03,1.71,0.47,0.76
"Cd28",-1.27,-1.44,-1.07,-0.72,0.35,1.52,0.45,0.25,1.3,0.42,0.21
"Gpnmb",-1.74,-0.33,-0.21,-0.23,-1.06,0.16,0.05,0.09,2.25,0.61,0.41
"Selplg",-1.82,-0.6,-0.58,-0.91,-0.65,0.25,0.96,0.9,1.58,0.32,0.56
"Fgf11",-1.1,-0.94,-0.99,-0.74,-0.82,0.5,0.76,0.69,2.07,0.22,0.34
"Tnfsf13b",-1.21,-1.09,-0.57,-0.87,1.46,1.51,0.53,0.79,0.38,-0.04,-0.89
"Alox5ap",-0.62,-1.23,-1.2,-1.16,1.16,1.12,1.21,1.05,-0.36,0.05,-0.03
"Il16",-0.29,-1.71,-1.03,-1.33,1.32,0.76,0.92,0.78,0.62,0.02,-0.06
"Vegfa",-0.67,-1.08,-1.2,-1.28,1.97,0.62,0.73,0.69,0.12,0,0.1
"Adam15",-0.54,-1.25,-1.05,-0.9,-0.11,0.98,1.65,1.45,-0.31,-0.39,0.44
"Dusp18",-0.89,-0.53,-0.69,-1.94,-0.04,0.94,1.08,1.22,-0.37,0.24,0.98
"Cmtm4",-1.32,-0.51,-0.64,-1.66,-0.6,1.09,0.94,1,0.12,0.51,1.06
"Tnfsf12",-1.39,-1.23,-1.18,-0.92,0.08,0.84,0.91,0.88,0.01,0.93,1.07
"Vegfb",-0.8,-1.2,-1.3,-1.34,-0.02,0.88,1.18,1.22,0.31,0.3,0.78
"Plxnb2",-1.43,-0.71,-0.99,-1.46,-0.1,0.67,1.15,1.26,0.33,0.64,0.65
"Pdgfa",-0.24,-1.05,-1.1,-1.25,-0.15,-0.27,-0.01,0.02,1.9,0.92,1.22
"Cdh1",0.22,-1.01,-0.49,-1.79,0.94,-0.57,-0.32,-0.22,0.43,1.47,1.33
"Calm2",-0.9,-1.2,-0.78,-0.91,-0.61,1.34,0.59,0.45,-0.53,1.02,1.51
"Nxph3",-0.82,-0.92,-0.94,-0.95,0.06,1.01,-0.8,0.35,-0.01,1.12,1.91
"Glg1",-0.65,-1.14,-1.17,-1.27,1.02,0.61,1.04,-0.35,-0.25,0.7,1.46
"Pkd1",-1.43,-0.98,-1.65,-0.78,0.71,0.32,0.62,0.66,0.7,1.09,0.74
"Lefty1",-1.12,-1.25,-0.9,-1.29,0.89,0.65,0.74,0.85,-0.28,1.42,0.29
