from	to
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB2
ICAM4	ITGB3
ICAM5	ITGAL
ICAM5	ITGB2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNL1	IFNLR1
IFNL1	IL10RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	IGF1R
IGF2	IGF1R
IGF2	IGF2R
IGF2	INSR
IHH	HHIP
IHH	PTCH1
IL10	IL10RA
IL10	IL10RB
IL11	IL11RA
IL11	IL6ST
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL13	IL13RA1
IL13	IL13RA2
IL13	IL2RG
IL13	IL4R
IL15	IL15RA
IL15	IL2RB
IL15	IL2RG
IL16	CD4
IL17A	IL17RA
IL17B	IL17RB
IL18	IL18R1
IL18	IL18RAP
IL18	IL1RAPL1
IL19	IL20RA
IL19	IL20RB
IL1A	IL1R1
IL1A	IL1R2
IL1B	IL1R1
IL1B	IL1R2
IL1B	IL1RAP
IL1RN	IL1R1
IL1RN	IL1R2
IL20	IL20RA
IL20	IL20RB
IL20	IL22RA1
IL21	IL21R
IL21	IL2RG
IL22	IL10RA
IL22	IL22RA1
IL22	IL22RA2
IL23A	IL12RB1
IL23A	IL23R
IL24	IL20RA
IL24	IL20RB
IL24	IL22RA1
IL25	IL17RB
IL2	IL2RA
IL2	IL2RB
IL2	IL2RG
IL31	IL31RA
IL31	OSMR
IL3	CSF2RB
IL3	IL3RA
IL4	IL13RA1
IL4	IL2RG
IL4	IL4R
IL5	CSF2RB
IL5	IL5RA
IL6	IL6R
IL6	IL6ST
IL7	IL2RG
IL7	IL7R
IL9	IL2RG
IL9	IL9R
INHA	ACVR1
INHA	ACVR1B
INHA	ACVR2A
INHA	ACVR2B
INHA	TGFBR3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBA	BAMBI
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR2A
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
INSL3	RXFP2
INSL5	RXFP3
INSL5	RXFP4
INS	INSR
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JAG2	NOTCH4
KISS1	KISS1R
KITLG	KIT
KNG1	BDKRB1
KNG1	BDKRB2
KNG1	GPR135
LAMA1	ITGA7
LAMA1	ITGB1
LAMA1	ITGB8
LAMA1	RPSA
LAMA2	ITGA7
LAMA2	ITGB1
LAMA2	RPSA
LAMB1	ITGA6
LAMB1	ITGB1
LAMB2	RPSA
LAMC2	ITGA3
LAMC2	ITGA6
LAMC2	ITGB1
LAMC2	ITGB4
LEFTY2	ACVR2B
LEP	LEPR
LHB	LHCGR
LIF	IL6ST
LIF	LIFR
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LRPAP1	LRP1
LTA	LTBR
LTA	TNFRSF14
LTA	TNFRSF1A
LTA	TNFRSF1B
LTB	CD40
LTB	LTBR
LTF	LRP1
LTF	LRP11
MDK	ALK
MDK	PTPRB
MDK	PTPRZ1
MLN	MLNR
MMP13	LRP1
MMP9	LRP1
MST1	MST1R
NAMPT	INSR
NDP	FZD4
NDP	LGR4
NGF	NGFR
NGF	NTRK1
NGF	SORT1
NID1	PTPRF
NMB	GRPR
NMB	NMBR
NMS	NMUR1
NMS	NMUR2
NMU	NMUR1
NMU	NMUR2
NODAL	ACVR1B
NODAL	ACVR1C
NODAL	ACVR2A
NODAL	ACVR2B
NOV	NOTCH1
NPB	NPBWR1
NPB	NPBWR2
NPFF	NPFFR1
NPFF	NPFFR2
NPNT	ITGA8
NPNT	ITGB1
NPPA	NPR1
NPPA	NPR3
NPPB	NPR1
NPPB	NPR2
NPPB	NPR3
NPPC	NPR2
NPS	NPSR1
NPVF	NPFFR1
NPVF	NPFFR2
NPW	NPBWR1
NPW	NPBWR2
NPY	NPY1R
NPY	NPY2R
NPY	NPY4R
NPY	NPY5R
NPY	PRLHR
NRG1	ERBB2
NRG1	ERBB3
NRG1	ERBB4
NRG2	ERBB3
NRG2	ERBB4
NRG3	ERBB4
NRG4	ERBB4
NRTN	GFRA1
NRTN	GFRA2
NRTN	RET
NTF3	NGFR
NTF3	NTRK1
NTF3	NTRK2
NTF3	NTRK3
NTF4	NGFR
NTF4	NTRK1
NTF4	NTRK2
NTF4	NTRK3
NTN1	DCC
NTN1	UNC5C
NTN3	CDON
NTN3	NEO1
NTN4	DCC
NTN4	UNC5A
NTS	NTSR1
NTS	NTSR2
NUCB2	ERAP1
NXPH1	NRXN1
NXPH1	NRXN2
NXPH1	NRXN3
NXPH3	NRXN1
NXPH3	NRXN2
NXPH3	NRXN3
OMG	LINGO1
OMG	TNFRSF1B
OSM	IL6ST
OSM	LIFR
OSM	OSMR
OSTN	NPR3
OXT	AVPR1A
OXT	AVPR1B
OXT	AVPR2
OXT	OXTR
PDGFA	PDGFRA
PDGFB	PDGFRA
PDGFB	PDGFRB
PDGFC	FLT4
PDGFC	KDR
PDGFC	PDGFRA
PDGFD	PDGFRB
PDYN	OPRD1
PDYN	OPRK1
PDYN	OPRM1
PENK	MRGPRX1
PENK	OGFR
PENK	OPRD1
PENK	OPRM1
PF4	FGFR2
PF4	LDLR
PF4	PROCR
PF4	THBD
PGF	FLT1
PGF	NRP1
PLAT	LRP1
PLAU	LRP1
PLAU	PLAUR
PLG	ITGA9
PLG	ITGB1
PMCH	MCHR1
PMCH	MCHR2
PNOC	OPRL1
PODXL2	SELL
POMC	MC1R
POMC	MC2R
POMC	MC3R
POMC	MC4R
POMC	MC5R
POMC	OPRD1
POMC	OPRK1
POMC	OPRM1
PPBP	CXCR1
PPBP	CXCR2
PPY	NPY4R
PPY	NPY5R
PRLH	PRLHR
PRL	PRLR
PRND	RPSA
PROC	PROCR
PROK1	PROKR1
PROK1	PROKR2
PROK2	PROKR1
PROK2	PROKR2
PROS1	AXL
PROS1	TYRO3
PSAP	GPR37
PSAP	GPR37L1
PSAP	LRP1
PSEN1	NCSTN
PSPN	GFRA4
PSPN	RET
PTDSS1	JMJD6
PTDSS1	SCARB1
PTGS2	PTGDR2
PTH2	PTH1R
PTH2	PTH2R
PTHLH	PRLHR
PTHLH	PTH1R
PTHLH	PTH2R
PTH	PTH1R
PTH	PTH2R
PTN	PTPRB
PTN	PTPRZ1
PYY	NPY1R
PYY	NPY2R
PYY	NPY4R
PYY	NPY5R
QRFP	P2RY14
QRFP	QRFPR
RARRES2	CMKLR1
RARRES2	GPR1
RELN	ITGA3
RELN	ITGB1
RELN	LRP8
RELN	VLDLR
REN	ATP6AP2
RLN1	RXFP1
RLN1	RXFP2
RLN2	RXFP1
RLN2	RXFP2
RLN3	RXFP1
RLN3	RXFP2
RLN3	RXFP3
RLN3	RXFP4
RPS19	C5AR1
RSPO1	LGR4
RSPO1	LGR5
RSPO1	LGR6
RSPO1	LRP6
RSPO2	LGR4
RSPO2	LGR5
RSPO2	LGR6
RSPO3	LGR4
RSPO3	LGR5
RSPO3	LGR6
RSPO4	LGR4
RSPO4	LGR5
RSPO4	LGR6
RTN4	LINGO1
RTN4	RTN4R
RTN4	TNFRSF19
SAA1	FPR2
SCT	SCTR
SEMA3A	NRP1
SEMA3A	PLXNA1
SEMA3A	PLXNA2
SEMA3A	PLXNA4
SEMA3B	NRP1
SEMA3C	NRP2
SEMA3E	PLXND1
SEMA3F	NRP2
SEMA3F	PLXNA3
SEMA4D	MET
SEMA4D	PLXNB1
SEMA4D	PLXNB2
SEMA6D	KDR
SEMA6D	PLXNA1
SEMA7A	PLXNC1
SERPINA1	LRP1
SERPINC1	LRP1
SERPINE1	LRP1
SERPINE2	LRP1
SERPING1	LRP1
SHH	BOC
SHH	CDON
SHH	HHIP
SHH	PTCH1
SHH	SMO
SLIT1	GPC1
SLIT1	ROBO1
SLIT1	SDC1
SLIT2	GPC1
SLIT2	ROBO1
SLIT2	ROBO2
SLIT2	ROBO4
SLIT2	SDC1
SOST	LRP5
SOST	LRP6
SPP1	CD44
SPP1	ITGAV
SST	SSTR1
SST	SSTR2
SST	SSTR3
SST	SSTR4
SST	SSTR5
TAC1	TACR1
TAC1	TACR2
TAC1	TACR3
TAC3	TACR1
TAC3	TACR2
TAC3	TACR3
TAC4	TACR1
TAC4	TACR3
TDGF1	ACVR2A
TFPI	LRP1
TFPI	VLDLR
TF	TFRC
TGFA	EGFR
TGFB1	ACVRL1
TGFB1	TGFBR1
TGFB1	TGFBR2
TGFB1	TGFBR3
TGFB2	TGFBR1
TGFB2	TGFBR2
TGFB2	TGFBR3
TGFB3	ACVRL1
TGFB3	TGFBR1
TGFB3	TGFBR2
TGFB3	TGFBR3
THBS1	CD36
THBS1	CD47
THBS1	SDC1
THBS2	CD47
THPO	MPL
TNFSF10	TNFRSF10A
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10C
TNFSF10	TNFRSF10D
TNFSF10	TNFRSF11B
TNFSF11	TNFRSF11A
TNFSF11	TNFRSF11B
TNFSF12	TNFRSF12A
TNFSF12	TNFRSF25
TNFSF13B	TNFRSF13B
TNFSF13B	TNFRSF13C
TNFSF13B	TNFRSF17
TNFSF13	TNFRSF13B
TNFSF13	TNFRSF17
TNFSF14	LTBR
TNFSF14	TNFRSF14
TNFSF14	TNFRSF6B
TNFSF15	TNFRSF25
TNFSF18	TNFRSF18
TNFSF4	TNFRSF4
TNFSF8	TNFRSF8
TNFSF9	TNFRSF9
TNF	LTBR
TNF	TNFRSF1A
TNF	TNFRSF1B
TNF	TNFRSF21
TPH1	HTR1A
TPH1	HTR1B
TPH1	HTR1D
TPH1	HTR1E
TPH1	HTR1F
TPH1	HTR2A
TPH1	HTR2B
TPH1	HTR2C
TPH1	HTR4
TPH1	HTR5A
TPH1	HTR6
TPH1	HTR7
TRH	TRHR
TSHB	TSHR
UCN2	CRHR1
UCN2	CRHR2
UCN3	CRHR2
UCN	CRHR1
UCN	CRHR2
ULBP2	KLRK1
UTS2B	UTS2R
UTS2	UTS2R
VEGFA	FLT1
VEGFA	KDR
VEGFA	NRP1
VEGFA	NRP2
VEGFB	FLT1
VEGFB	NRP1
VEGFC	FLT4
VEGFC	KDR
VEGFC	NRP2
VEGFC	VIPR2
VIP	ADCYAP1R1
VIP	SCTR
VIP	VIPR1
VIP	VIPR2
WNT11	FZD7
WNT1	FZD3
WNT1	FZD8
WNT1	FZD9
WNT1	RYK
WNT3A	FZD6
WNT3	FZD8
WNT3	LRP6
WNT3	RYK
WNT4	FZD2
WNT4	FZD6
WNT5A	FZD2
WNT5A	FZD4
WNT5A	FZD6
WNT5A	FZD7
WNT5A	RYK
WNT7A	FZD5
WNT7B	FZD1
WNT7B	FZD10
WNT7B	LRP5
XCL1	XCR1
XCL2	XCR1
YARS	CXCR1
ZP3	MERTK
CCL4	CCR5
PDGFD	PDGFRB
IFNA4	IFNAR2
IFNA4	IFNAR1
HLA-F	CD8A
ICOSLG	ICOS
ICOSLG	CD28
ICOSLG	CTLA4
CSHL1	GHR
COL2A1	ITGB1
COL2A1	ITGA1
LAMA1	ITGB1
LAMA1	ITGA1
COL2A1	ITGA2
LAMA1	ITGA2
LAMA1	ITGA3
COL2A1	ITGA3
LAMA1	ITGA6
LAMA1	ITGA7
NPNT	ITGB1
NPNT	ITGA8
COL2A1	ITGA9
LAMA1	ITGA9
COL2A1	ITGA10
COL2A1	ITGA11
COL2A1	ITGAV
COL2A1	ITGB8
LAMA1	ITGAV
LAMA1	ITGB8
LAMA1	ITGB4
COL2A1	CD44
LAMA1	CD44
COL2A1	SDC1
LAMA1	SV2A
COL2A1	GP6
LAMA1	DAG1
CCL3L3	CCR1
CCL3L3	CCR5
CCL3L3	CCR1
CCL3L3	CCR5
CCL5	SDC4
EDN2	EDNRB
CSF2	SDC2
LAMA1	GPC1
TDGF1	GPC1
WNT3	FZD1
NRG1	GPC1
DKK1	LRP5
LAMA1	SDC4
CCL5	SDC1
CALR	TSHR
WNT1	FZD1
CCL26	CCR1
CCL23	FPR2
CAMP	IGF1R
RSPO2	JMJD6
BTC	ERBB2
CTGF	FGFR3
IL6	HRH1
CTGF	FGFR2
GDF9	KIT
CCL3	CXCR5
CCL3	CCR3
TNF	TRAF2
CCL16	CCR8
CCL7	ACKR4
CCL16	CXCR5
FGF6	FGFR3
EFNA5	EPHB1
FGF2	SDC1
EGF	ERBB3
HGF	SDC1
CCL19	ACKR2
WNT1	LRP5
CNTF	IL6R
CTGF	LRP1
CCL3	ACKR2
CCL3	CCR4
CTGF	ERBB4
PDGFB	LRP1
CCL21	ACKR2
HBEGF	CD44
APOB	LRP2
INS	LRP2
EFNB2	EPHA3
INS	IGF1R
IAPP	RAMP1
ARF1	INSR
CCL27	ACKR2
CCL25	ACKR2
LAMA2	DAG1
CCL19	CCR10
EGF	ERBB2
FGF2	SDC3
CCL28	ACKR2
GHRL	GHRHR
CCL7	CCR10
VEGFD	NRP1
VEGFD	NRP2
APOB	CALCR
WNT1	ROR2
CTGF	EGFR
PDGFB	NRP1
EFNB2	EPHA5
EFNB2	SDC2
DKK1	KIT
FGF1	GPC1
FGF1	SDC4
FGF1	SDC2
DLK1	FGFR1
WNT3	TRAF2
TNF	DAG1
TNF	PTPRS
TNF	NEO1
GSTP1	NTRK1
RTN4	NTRK1
CALR	NTRK1
INSL3	ALK
EFNB2	SDC1
IL12B	IL23R
HBEGF	ERBB2
FGF2	GPC1
HBEGF	PRLR
PRL	ERBB4
EPO	KIT
NRG4	EGFR
FGF23	FGFR3
AREG	ERBB2
EREG	ERBB2
NRG2	ERBB2
IL6	ERBB2
EFNB2	LRP6
EFNB2	FZD6
EFNB2	EPHA2
EFNB2	INSR
EFNB2	ROR2
EFNB2	FZD5
EFNB2	LRP8
JAG2	FZD6
JAG2	EPHA2
JAG2	INSR
JAG2	ROR2
JAG2	FZD5
JAG2	LRP8
EFNB1	FZD5
EFNB1	LRP8
ANXA1	EPHA5
NDP	LRP5
RTN4	ROR2
EFNB2	UNC5C
EFNB2	LRP2
JAG2	LRP2
EFNB1	LRP2
LAMB1	SDC2
LAMB1	SDC1
TF	SDC1
ARF1	FAS
APOB	ERBB2
APOB	EGFR
APOB	PTPRF
APOB	MET
CALR	FAS
UTS2	FAS
LAMB1	FAS
ANXA1	HMMR
ARF1	MYLK
ARF1	LRP5
ARF1	HMMR
GSTP1	MYLK
GSTP1	LRP5
GSTP1	FAS
GSTP1	HMMR
CALR	LRP5
CALR	HMMR
ANXA1	LIFR
ANXA1	DDR2
EFNB2	EPHA7
JAG2	EPHA7
RTN4	EPHA2
RTN4	FZD6
RTN4	EPHA7
EFNB1	EPHA7
ARF1	CD44
CALR	CD44
IGF1	INSR
EPGN	ERBB4
PDGFC	PDGFRB
APP	TGFBR2
F2	LRP1
WNT5A	LRP6
WNT4	LRP6
WNT1	LRP6
WNT11	LRP6
WNT3A	LRP6
WNT7A	LRP6
PSEN1	NOTCH1
WNT1	NOTCH1
ADAM17	NOTCH1
RSPO2	SDC4
RSPO3	SDC4
EREG	ERBB3
TNFSF14	TRAF2
WNT5A	FZD5
ADAM17	IL1R2
GZMB	FGFR1
IL22	IL20RA
WNT5A	FZD3
WNT5A	ROR2
WNT4	LRP5
WNT4	FZD3
CSF3	CSF2RA
IL22	IFNAR2
CSF1	CSF3R
CCL2	ACKR4
TDGF1	ACVR1B
WNT1	FZD6
WNT3A	LRP5
WNT7A	LRP5
CSF1	CSF2RA
WNT11	FZD3
WNT11	FZD6
WNT11	MUSK
PTN	ALK
WNT3A	FZD3
WNT7A	FZD3
WNT3	FZD3
WNT7B	FZD3
IHH	PTCH2
SHH	PTCH2
CCL26	CCR5
DHH	PTCH1
ADAM17	IL6R
PLG	F2RL1
WNT3A	FZD8
WNT3A	FZD1
WNT3A	RYK
WNT3A	FZD2
CCL26	CX3CR1
WNT7A	FZD7
MDK	NOTCH2
IL10	IFNAR2
PENK	OPRL1
CNTF	CRLF1
EDN1	EDNRB
TGFB1	ITGB6
TGFA	ERBB4
ADAM17	ERBB4
MDK	LRP2
PLAU	LRP2
APOE	LRP2
SERPINE1	LRP2
LRPAP1	LRP2
TGFB1	ERBB2
TGFA	ERBB2
ANGPT2	ITGA5
COL1A1	ITGA5
APP	SDC1
APP	LRP1
APP	KDR
APP	NCSTN
APP	NGFR
APP	PROKR1
APP	GPC1
KNG1	RXFP4
SPP1	SDC1
CTSG	SDC1
CALR	LRP1
THBS1	LRP1
CTSG	LRP1
WNT3A	LRP1
MDK	LRP1
APOE	LRP1
TGFB1	SDC2
HGF	SDC2
PF4	SDC2
SERPINC1	SDC2
SERPINA1	SDC2
TNFSF13	SDC2
HSP90B1	TNFRSF1B
FGA	ITGB3
GZMB	NOTCH1
CALR	MTNR1A
CSF2	IL3RA
MDK	SDC4
TGFB3	SDC4
PSEN1	NOTCH4
PSEN1	NOTCH3
PSEN1	NOTCH2
FN1	TSHR
FN1	ITGB5
FN1	MTNR1A
MMP9	CD44
MMP9	EPHB2
FGA	ITGA2B
F2	ITGA2B
COL2A1	ITGA2B
TNFSF9	TRAF2
TNFSF4	TRAF2
COL2A1	DDR1
PPBP	IL7R
TNF	PTPRZ1
CCL22	CCR7
GDF9	ACVR2A
FGF7	FGFR3
FGF7	FGFR4
WNT5A	FZD1
WNT1	CD36
COL1A1	CD36
TNFSF13	FAS
NTN1	NEO1
CCL3	ACKR4
CTSG	CXCR4
TGFB1	BMPR1A
GDF9	BMPR1A
KNG1	PLAUR
CCL2	CCR10
TDGF1	ACVR1C
CCL13	ACKR4
CCL11	ACKR4
CCL8	ACKR4
CXCL13	ACKR4
CCL5	ACKR4
CCL4	ACKR4
EFNA1	EPHB1
EPO	EPHB4
TGFB1	ITGAV
TGFB1	ITGB8
PROS1	RPSA
TNFSF13	TNFRSF1A
CCL5	CXCR5
CCL4	CXCR5
PTN	PTPRS
CTSG	F2RL1
GDF5	ACVR1
CCL1	CCR1
GSTP1	IL7R
CCL4	CCR3
GDF5	ACVR2B
FGF2	CD44
VEGFA	PTPRB
FGF3	FGFR3
FGF3	FGFR4
CCL25	CCR10
TF	IL7R
IL4	IL13RA2
A2M	TNFRSF14
CXCL13	CCR10
PF4	CXCR3
CXCL13	CXCR3
NPY	MC4R
PLAU	IGF2R
BDNF	SORT1
LRPAP1	SORT1
NTS	SORT1
SAA1	FPR1
PLG	F3
CYR61	ITGB5
LRPAP1	SORL1
INHBA	TGFBR3
APOE	SCARB1
CYR61	ITGAV
VEGFA	EPHB2
VEGFA	PTPRZ1
VEGFA	GPC1
PLG	F2R
C3	C5AR2
LRPAP1	LRP8
GCG	GIPR
LRPAP1	VLDLR
ADCYAP1	SCTR
F2	GP1BA
F2	THBD
F2	GP5
KNG1	GP1BA
TNFSF13	TNFRSF14
NPPA	NPR2
EDN3	EDNRA
PROC	THBD
NPY	NPFFR2
SLIT1	MTNR1A
LRRC4	NTNG1
HCRT	NPFFR2
ASIP	MC2R
INHBB	ACVR1C
CORT	CXCR6
CORT	GALR2
CORT	GALR3
CORT	HTR1A
CORT	FPR1
CORT	C5AR1
CORT	CXCR1
CORT	CXCR2
CORT	FPR2
CORT	ACKR3
CORT	NPY1R
CORT	HTR1D
CORT	HTR1B
CORT	BDKRB2
CORT	HTR1F
CORT	CCR1
CORT	CCR7
CORT	CXCR5
CORT	OPRM1
CORT	APLNR
CORT	OPRD1
CORT	OPRK1
CORT	OPRL1
CORT	CCR2
CORT	CCR10
CORT	BDKRB1
CORT	GALR1
CORT	HTR5A
CORT	MTNR1A
CORT	NPBWR1
CORT	NPY2R
CORT	MTNR1B
CORT	CXCR3
CORT	AGTR2
CORT	NPY4R
CORT	CCR3
CORT	CCR4
CORT	CCR5
CORT	CCR6
CORT	CCR8
CORT	CCR9
CORT	CXCR4
CORT	GRM4
CORT	P2RY14
CORT	NPY5R
CORT	C3AR1
CORT	RXFP4
CORT	LPAR1
CORT	MCHR1
CORT	NMUR2
CORT	HRH4
CORT	NMUR1
CORT	LPAR2
CORT	RXFP3
CORT	HRH3
CORT	PTGDR2
LEFTY2	ACVR2A
LEFTY2	ACVR1B
LEFTY2	ACVR1C
AGRN	ITGAV
AGRN	LRP2
AGRN	LRP1
AGRN	PTPRS
AGRN	LRP8
DLL1	MTNR1A
CCL21	GALR2
CCL21	GALR3
CCL21	HTR1A
CCL21	FPR1
CCL21	C5AR1
CCL21	CXCR1
CCL21	CXCR2
CCL21	FPR2
CCL21	ACKR3
CCL21	NPY1R
CCL21	HTR1D
CCL21	HTR1B
CCL21	BDKRB2
CCL21	SSTR1
CCL21	SSTR2
CCL21	HTR1F
CCL21	SSTR4
CCL21	CCR1
CCL21	CXCR5
CCL21	SSTR3
CCL21	SSTR5
CCL21	OPRM1
CCL21	APLNR
CCL21	OPRD1
CCL21	OPRK1
CCL21	OPRL1
CCL21	CCR2
CCL21	CCR10
CCL21	BDKRB1
CCL21	GALR1
CCL21	HTR5A
CCL21	MTNR1A
CCL21	NPBWR1
CCL21	NPY2R
CCL21	MTNR1B
CCL21	AGTR2
CCL21	NPY4R
CCL21	CCR3
CCL21	CCR4
CCL21	CCR5
CCL21	CCR6
CCL21	CCR8
CCL21	CCR9
CCL21	CXCR4
CCL21	GRM4
CCL21	P2RY14
CCL21	NPY5R
CCL21	C3AR1
CCL21	RXFP4
CCL21	LPAR1
CCL21	MCHR1
CCL21	NMUR2
CCL21	HRH4
CCL21	NMUR1
CCL21	LPAR2
CCL21	RXFP3
CCL21	HRH3
CCL21	PTGDR2
CYR61	PLXNA3
NTN3	UNC5C
NTN3	ACVR1B
NTN3	TGFBR1
NTN3	NOTCH1
NTN3	NOTCH2
NTN3	PTCH1
NTN3	UNC5A
NTN3	ACVR1C
NTN3	BOC
NTN3	ROBO2
NTN3	NOTCH3
NTN3	PTCH2
WNT7A	ROR2
WNT7A	FZD4
WNT7A	FZD10
WNT7A	FZD1
NRG2	EGFR
CXCL11	GALR2
CXCL11	GALR3
CXCL11	HTR1A
CXCL11	FPR1
CXCL11	C5AR1
CXCL11	CXCR1
CXCL11	CXCR2
CXCL11	FPR2
CXCL11	NPY1R
CXCL11	HTR1D
CXCL11	HTR1B
CXCL11	BDKRB2
CXCL11	SSTR1
CXCL11	SSTR2
CXCL11	HTR1F
CXCL11	SSTR4
CXCL11	CCR1
CXCL11	CCR7
CXCL11	CXCR5
CXCL11	SSTR3
CXCL11	SSTR5
CXCL11	OPRM1
CXCL11	APLNR
CXCL11	OPRD1
CXCL11	OPRK1
CXCL11	OPRL1
CXCL11	CCR2
CXCL11	CCR10
CXCL11	BDKRB1
CXCL11	GALR1
CXCL11	HTR5A
CXCL11	MTNR1A
CXCL11	NPBWR1
CXCL11	NPY2R
CXCL11	MTNR1B
CXCL11	AGTR2
CXCL11	NPY4R
CXCL11	CCR4
CXCL11	CCR5
CXCL11	CCR6
CXCL11	CCR8
CXCL11	CCR9
CXCL11	CXCR4
CXCL11	GRM4
CXCL11	P2RY14
CXCL11	NPY5R
CXCL11	C3AR1
CXCL11	RXFP4
CXCL11	LPAR1
CXCL11	MCHR1
CXCL11	NMUR2
CXCL11	HRH4
CXCL11	NMUR1
CXCL11	LPAR2
CXCL11	RXFP3
CXCL11	HRH3
CXCL11	PTGDR2
TNFSF11	TRAF2
NPFF	HCRTR1
NPFF	HCRTR2
NPFF	NTSR2
NPFF	TACR2
NPFF	EDNRB
NPFF	FPR2
NPFF	EDNRA
NPFF	TACR1
NPFF	F2R
NPFF	HTR2A
NPFF	HTR2C
NPFF	NMBR
NPFF	TACR3
NPFF	BDKRB2
NPFF	GRPR
NPFF	AGTR1
NPFF	OXTR
NPFF	GNRHR
NPFF	NTSR1
NPFF	CCKAR
NPFF	CCKBR
NPFF	TRHR
NPFF	HRH1
NPFF	AVPR1A
NPFF	HTR2B
NPFF	XCR1
NPFF	BDKRB1
NPFF	GCGR
NPFF	AVPR1B
NPFF	F2RL1
NPFF	NPSR1
NPFF	PROKR2
NPFF	PROKR1
NPFF	LPAR1
NPFF	GHSR
NPFF	KISS1R
NPFF	QRFPR
NPFF	F2RL3
NPFF	LPAR4
NPFF	MCHR1
NPFF	NMUR2
NPFF	NMUR1
NPFF	LPAR2
NPFF	UTS2R
CCL25	GALR2
CCL25	GALR3
CCL25	HTR1A
CCL25	FPR1
CCL25	C5AR1
CCL25	CXCR1
CCL25	CXCR2
CCL25	FPR2
CCL25	ACKR3
CCL25	NPY1R
CCL25	HTR1D
CCL25	HTR1B
CCL25	BDKRB2
CCL25	SSTR1
CCL25	SSTR2
CCL25	HTR1F
CCL25	SSTR4
CCL25	CCR1
CCL25	CCR7
CCL25	CXCR5
CCL25	SSTR3
CCL25	SSTR5
CCL25	OPRM1
CCL25	APLNR
CCL25	OPRD1
CCL25	OPRK1
CCL25	OPRL1
CCL25	CCR2
CCL25	BDKRB1
CCL25	GALR1
CCL25	HTR5A
CCL25	MTNR1A
CCL25	NPBWR1
CCL25	NPY2R
CCL25	MTNR1B
CCL25	CXCR3
CCL25	AGTR2
CCL25	NPY4R
CCL25	CCR3
CCL25	CCR4
CCL25	CCR5
CCL25	CCR6
CCL25	CCR8
CCL25	CXCR4
CCL25	GRM4
CCL25	P2RY14
CCL25	NPY5R
CCL25	C3AR1
CCL25	RXFP4
CCL25	LPAR1
CCL25	MCHR1
CCL25	NMUR2
CCL25	HRH4
CCL25	NMUR1
CCL25	LPAR2
CCL25	RXFP3
CCL25	HRH3
CCL25	PTGDR2
DHH	SMO
TNFSF12	TRAF2
HCRT	NTSR2
HCRT	TACR2
HCRT	EDNRB
HCRT	FPR2
HCRT	EDNRA
HCRT	TACR1
HCRT	F2R
HCRT	HTR2A
HCRT	HTR2C
HCRT	NMBR
HCRT	TACR3
HCRT	BDKRB2
HCRT	GRPR
HCRT	AGTR1
HCRT	OXTR
HCRT	GNRHR
HCRT	NTSR1
HCRT	CCKAR
HCRT	CCKBR
HCRT	TRHR
HCRT	HRH1
HCRT	AVPR1A
HCRT	HTR2B
HCRT	XCR1
HCRT	BDKRB1
HCRT	GCGR
HCRT	AVPR1B
HCRT	F2RL1
HCRT	NPSR1
HCRT	PROKR2
HCRT	PROKR1
HCRT	LPAR1
HCRT	GHSR
HCRT	KISS1R
HCRT	QRFPR
HCRT	F2RL3
HCRT	LPAR4
HCRT	MCHR1
HCRT	NMUR2
HCRT	NPFFR1
HCRT	NMUR1
HCRT	LPAR2
HCRT	UTS2R
EFNA2	EPHB2
EFNA2	TGFBR1
EFNA2	EPHB3
EFNA2	EPHB4
EFNA2	EPHB1
CXCL13	GALR3
CXCL13	HTR1A
CXCL13	FPR1
CXCL13	C5AR1
CXCL13	CXCR1
CXCL13	CXCR2
CXCL13	FPR2
CXCL13	ACKR3
CXCL13	NPY1R
