"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","MoDC_48Hwash_M4","MoDC_48Hwash_M3","MoDC_48Hwash_M1","MoDC_48Hwash_M2","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Tef",-1.51,-1.04,-1.22,-1.03,0.08,0.63,0.92,0.9,0.32,0.95,1.01
"Zfp74",-0.63,-1.09,-1.52,-1.12,1.59,0.78,0.84,0.85,0.39,-0.28,0.21
"Runx3",-0.74,-0.69,-1.65,-1.27,1.47,0.49,0.81,0.72,1,0.04,-0.19
"Zc3h8",-0.69,-1,-1.69,-1.11,1.51,0.73,0.35,0.86,0.85,0.04,0.17
"Pcgf2",-1.36,-0.96,-0.54,-1.51,1.53,-0.05,0.79,0.97,0.52,-0.05,0.66
"Zfp692",-1.83,-0.87,-0.91,-0.81,1.24,0.61,0.79,1.26,0.54,-0.07,0.04
"E2f1",-1.31,-1.23,-1.12,-1.21,1.05,0.59,0.71,0.84,1.05,0.52,0.09
"Zfp414",-1.38,-1.05,-0.73,-1.41,0.78,0.86,1,1.04,-0.42,0.57,0.74
"Fli1",-1.37,-1.23,-0.77,-1.25,0.45,1.09,1.01,0.66,-0.18,0.41,1.18
"Mef2d",-0.97,-1.46,-1.15,-1.05,0.98,0.78,0.63,0.78,-0.4,0.89,0.98
"Mxi1",-1.11,-1.2,-1.21,-1.34,1.13,0.65,1.08,0.7,0.12,0.47,0.71
"Zfp41",-1.09,-0.68,-1.04,-1.3,0.63,0.55,1.15,1.47,-0.76,0.18,0.89
"Gm28557",-1.04,-1.34,-0.89,-0.9,1.04,0.74,1.06,1.25,-0.45,-0.39,0.92
"Chchd3",-0.93,-1.11,-1.34,-0.77,1.21,1.42,0.68,0.12,-0.7,0.57,0.85
"Zfp248",-0.69,-0.96,-1.04,-1.67,0.84,0.4,1.67,0.62,-0.26,0.69,0.39
"Hmg20a",-0.95,-0.47,-1.63,-1,1.01,0.81,1.67,0.55,-0.48,0.47,0.01
"Zbtb44",-0.67,-0.73,-1.76,-1.03,1.15,0.81,0.99,0.99,-0.61,0.73,0.12
"Klf10",-0.43,-0.71,-0.95,-0.98,1.77,0.49,-0.09,-0.31,-1.12,1.19,1.14
"Nr1d1",-0.82,-0.88,-0.96,-1.14,1.99,-0.43,0.06,0.16,-0.04,1.17,0.89
"Etv5",-1.01,0.19,-0.11,-1.25,-0.1,-0.11,-0.23,-0.81,-0.18,1.54,2.07
"Pparg",-0.96,-1.21,-0.7,-0.98,-0.39,0.36,0.01,0.2,0.28,1.64,1.76
"Bhlhe40",-0.12,-1.32,-1.19,-1.44,0,0.23,0.24,0.12,0.51,1.47,1.5
"Cenpa",-0.4,-1.13,-1.1,-1.28,0.3,-0.13,-0.08,-0.05,0.69,1.36,1.81
"Zfp608",-1.47,-1.18,-0.74,-0.95,0.9,0.75,0.74,-0.33,1.67,0.29,0.32
"Akap8l",-0.97,-1.14,-0.78,-1.11,0.24,0.47,0.26,0.18,2.32,0.17,0.35
"Xpa",-0.42,-1.52,-1.06,-1.05,1.63,0.06,0.08,-0.27,1.18,0.33,1.04
"Phf1",-0.97,-2,-0.93,-0.58,0.94,0.23,0.59,0.4,1.41,0.47,0.45
"Erf",-1.04,-1.62,-0.8,-0.96,-0.05,-0.11,0.33,0.89,1.19,1.28,0.89
"Foxo3",-0.63,-1.79,-1,-0.82,-0.11,0.11,0.53,0.41,1.59,1.21,0.51
"Gtf3a",-1.25,-1.29,-0.91,-0.61,0.08,0.11,0.11,0.16,2.09,0.8,0.72
"Npas4",-0.92,-1.05,-1.09,-1.1,-0.29,0.48,0.19,0.02,1.85,1.15,0.75
"Foxo4",-0.8,-1.28,-1.1,-1.41,-0.33,0.72,0.8,0.9,1.31,0.42,0.76
"Rreb1",-0.46,-1.4,-1.39,-1.48,0.39,0.93,0.61,0.47,1.21,0.63,0.49
"Gtf2i",-1.01,-1.45,-1.23,-1.25,0.28,0.82,0.72,0.84,1.03,0.61,0.63
"Zfp652",-0.68,-0.83,-1.66,-1.45,0.24,0.34,0.68,0.21,1.11,1.02,1.01
"Trerf1",0.03,-1.16,-1.73,-1.54,0.06,0.63,0.73,0.67,1.01,0.77,0.53
"Nfic",-0.51,-1.23,-1.36,-1.62,0.45,0.16,0.84,1.01,0.91,0.48,0.86
"Ski",-0.65,-1.33,-1.58,-1.27,0.45,0.49,0.81,0.87,0.9,0.36,0.95
"Tfeb",-0.81,-0.69,-1.23,-1.36,-0.59,0.16,0.28,0.73,1.7,0.78,1.02
"Batf3",-0.28,-1.11,-1.54,-0.92,-0.93,0.47,0.48,0.56,1.53,0.79,0.94
"Phf20",-0.51,-1.53,-1.23,-0.83,-0.23,0.11,0.58,0.94,1.87,0.23,0.6
"Creb3l2",-0.12,-1.45,-1.21,-1.46,0.08,0.59,0.57,0.54,1.72,0.21,0.55
"Bach1",-0.58,-0.93,-0.87,0.05,-0.74,0.44,-0.49,-0.33,2.3,1.28,-0.13
"Tfdp2",-0.34,-1.51,-0.32,-0.7,-1.49,0.4,-0.1,0.57,1.17,1.51,0.81
"Zbtb18",-1.06,-0.79,-1.04,-0.15,-0.51,-0.1,-0.14,-0.34,2.08,0.62,1.42
"Meis3",-2.12,-0.26,-0.63,-0.32,-0.58,0.02,0.28,0.29,1.44,0.41,1.48
"Zfp512b",-0.61,-0.41,-1.89,-0.93,0.07,-0.2,0.21,0.48,1.67,1.37,0.24
"Mbd3",-1.47,-0.03,-1.1,-0.84,0.05,-0.63,0.25,0.77,2.11,0.37,0.51
"Hmg20b",-1.78,-0.88,-0.92,-0.74,-0.03,0.04,0.36,0.73,1.68,0.86,0.68
"Tet3",-0.16,-0.39,-0.02,0.33,-1.73,-1.05,-0.29,-0.41,0.62,1.24,1.86
"Mef2a",-0.68,0.23,-0.41,-0.55,-1.61,0.03,-0.6,-0.55,1.31,1.39,1.45
"Zfp90",-0.02,-0.14,-0.59,-1.18,-1.47,-0.01,0.18,-0.44,0.35,1.36,1.97
"Cebpa",-1.14,-0.56,-1.12,-1.13,-1.09,0.49,0.97,0.92,0.57,0.82,1.27
"Hes6",-1.1,-0.84,-1.39,-1.05,-0.58,0.36,0.53,1.2,0.68,1.08,1.11
"Mxd4",-1.16,-0.99,-1.24,-0.95,-0.72,0.48,0.78,0.54,0.94,1.11,1.21
"Cbx2",-1.14,-1.08,-0.51,-1.42,-0.43,0.33,0.65,0.76,0.16,1.74,0.94
"Rarb",-0.89,-0.99,-1.02,-1.03,-0.58,0.06,1.09,1.19,0.06,1.75,0.37
"Egr2",-1.31,-0.75,-0.83,-0.71,-1.4,0.86,0.65,0.52,0.61,1.16,1.2
"Mafa",-1.46,-1.03,-0.45,-0.28,-1.39,0.3,0.96,0.72,0.2,1.38,1.05
"Zfp362",-1.69,-0.29,-0.65,-1.09,-0.93,0.48,1,0.54,0.17,1.16,1.3
"Epas1",-1.17,-0.04,-0.88,-0.55,-1.74,0.4,0.86,0.41,0.09,1.36,1.27
"Pbx1",-1.52,-0.79,-0.68,-1.13,-0.13,0.7,1.1,-0.3,0.11,1.47,1.15
"Sgsm2",-0.58,-1.13,-1.16,-0.73,-0.93,0.61,0.78,0.29,-0.16,1.36,1.65
"Cic",-1.34,-0.85,-0.72,-0.96,-0.42,0.62,0.92,0.97,-0.73,1.38,1.13
"Nacc2",-0.91,-0.52,-1.15,-0.58,-0.9,1.06,0.95,0.45,-0.97,1.33,1.23
"Zfp637",-0.26,-0.71,-0.62,-0.75,1.78,1.21,1.12,0.35,-0.04,-0.65,-1.43
"Zfp358",-1.4,0.07,-0.41,-0.39,1.47,0.42,1.54,0.82,0.01,-1.25,-0.87
"Ddit3",-1.09,-0.53,-0.44,-0.64,1.91,0.63,0.79,1.29,-0.17,-1,-0.75
"Zbtb7b",-1.24,-0.55,-0.36,-1.19,0.67,0.46,0.97,1.69,1.03,-0.69,-0.79
"Hlx",-0.39,0.25,-0.98,-0.94,0.11,1.37,1.36,1.48,-0.33,-0.94,-1.01
"Runx1",-0.85,0.05,-1.59,-1,0.04,1.36,0.99,1.64,0.06,-0.27,-0.43
"Bcl6",-0.54,0.83,0.66,0.01,0.82,0.85,0.39,0.53,0,-1.33,-2.23
"Bhlhe41",0.23,-0.06,-0.42,0.51,0.78,0.7,1.44,0.76,-1.92,-0.79,-1.21
"Pou2f2",1.26,-0.15,-0.37,-0.4,1,0.44,0.8,0.68,0.16,-1.64,-1.77
"Ankzf1",0.8,0.36,-0.79,-1.35,1.22,0.69,1,0.98,-0.72,-1.17,-1
"Pou5f2",0.59,0.44,-0.7,-0.09,-0.73,-1.43,-0.22,-0.96,2.17,0.13,0.81
"Klf4",0.05,0.52,0.94,1.61,-0.25,-1.28,-0.98,-1.65,0.9,-0.08,0.24
"Zfp697",-0.81,1.42,0.66,0.87,-1.15,-0.91,-0.98,-0.9,1.4,-0.07,0.48
"Hivep2",1.29,0.66,1.05,0.06,-0.21,-0.79,-1.69,-1.1,1.34,-0.14,-0.48
"Tcf7",1.14,0.17,1.48,0.16,-1,-0.74,-1.49,-0.73,1.42,-0.1,-0.31
"Myc",0.49,0.07,0.66,0.86,-0.66,-0.75,-1.45,-1.38,1.88,0.21,0.08
"Bcl11b",1.11,0.14,0.08,0.73,-0.51,-0.75,-0.72,-1.11,2.21,-0.49,-0.7
"Gfi1",2.46,-0.85,1.28,0.02,-0.35,-0.66,-0.62,-0.13,-0.11,-0.66,-0.39
"Ikzf4",2.46,0.33,0.8,-0.56,0.15,-0.83,-0.97,-0.67,0.36,-0.72,-0.36
"Cebpd",1.63,0.63,0.21,0.32,-0.11,0.33,0.07,0.09,0.39,-2.08,-1.48
"Ahrr",1.41,-0.21,0.31,-0.11,1.27,1.15,-0.27,-0.11,-0.41,-1.37,-1.66
"Fosl2",1.77,0.11,0.15,0.76,1.38,0.01,-0.63,-0.34,-0.56,-1.26,-1.39
"Zfp346",1.84,0.65,0.34,0.3,0.57,0.77,-0.41,-0.45,-0.91,-1.01,-1.68
"Ppard",0.23,1.46,1,0.69,0.52,-1.92,-1.02,-0.5,-0.98,0.23,0.28
"Zeb2",-0.74,1.46,1.63,1.1,-0.32,-0.88,-0.39,-0.74,-1.36,0.15,0.1
"Kcmf1",0.91,1.05,0.68,0.48,0.78,-0.16,0.06,-0.2,-2.4,-0.92,-0.3
"Etv6",0.96,1.24,1.18,0.78,-0.31,-0.46,-0.32,-0.17,-2.19,-0.54,-0.16
"Eea1",0.71,1.25,1.09,0.78,0.02,-0.43,-0.08,0.01,-2.24,-0.94,-0.18
"Mbd2",1.17,1.13,0.9,0.83,-0.33,0.06,-0.19,-0.56,-2.25,-0.5,-0.25
"Mbd1",1.22,0.84,0.72,0.52,-0.07,0.1,0.02,0.01,-2.46,-0.97,0.06
"Dot1l",1.49,1.2,0.54,0.94,-0.34,-1.26,-0.98,-0.66,-1.37,0.04,0.4
"Sp2",0.77,0.75,1.1,1.15,-0.28,-0.91,-0.06,-1.4,-1.8,0.38,0.29
"Irf7",1.1,0.94,0.91,0.79,0.11,0.14,0.03,0.28,-1.12,-1.4,-1.77
"Rsl1",1.09,0.9,0.77,1.28,0.2,-0.17,-0.2,0.22,-1.56,-1.35,-1.18
"Mecp2",0.66,1.29,0.63,1.55,0.04,0,-0.25,-0.05,-1.29,-1.41,-1.18
"Akna",0.93,1.31,1.24,1.04,-0.37,-0.02,-0.5,-0.14,-1.49,-1.27,-0.73
"Nfe2l2",0.26,1.3,1.35,1.27,-0.78,0.44,-0.18,-0.3,-1.29,-1.26,-0.82
"Irf9",1.47,1.22,0.39,1.2,-0.67,0.1,-0.09,-0.12,-1.21,-1.49,-0.78
"Zscan29",1.25,1.49,0.39,1.49,-1.22,-0.34,-0.29,-0.26,-0.95,-0.81,-0.73
"Zbtb21",-0.61,1.38,1.41,1.11,-0.23,-0.06,-0.34,0.4,-0.54,-1.83,-0.71
"Irf8",0.51,0.53,1.93,0.4,-1.13,0.1,0.56,0.45,-1,-1.18,-1.17
"Vezf1",-0.27,1.7,1.75,0.75,-1.14,-0.55,0.23,-0.98,-0.54,-0.56,-0.39
"Hivep1",0.29,1.32,1.53,1.41,-0.62,-0.48,-0.42,-0.57,-1.42,-0.82,-0.23
"Irf5",0.4,1.56,1.44,1.15,-0.98,-0.51,-0.65,-0.58,-1.38,-0.4,-0.06
"Irf2",0.28,1.62,1.47,1.14,-0.91,-0.72,-0.08,-0.09,-0.88,-0.83,-1.01
"Elf4",-0.14,1.59,1.3,1.45,-0.77,-0.81,-0.17,-0.07,-1.35,-0.57,-0.48
"Jund",0.5,1.36,1.38,1.02,-1.49,-0.31,-0.48,-0.46,-1.47,-0.15,0.1
"Atf3",0.85,1.31,1.41,0.95,-1.32,-0.65,-0.66,-0.67,-1.25,-0.16,0.19
"Aebp2",1.07,1.26,1.29,1.07,-1.22,-0.66,-0.45,-0.44,-1.34,0.02,-0.59
"Hivep3",0.96,1.32,1.38,1.2,-1.11,-0.34,-0.4,-0.46,-1.08,-0.68,-0.8
"Klf6",0.76,1.05,1.38,1.44,-1.24,-0.27,-0.28,-0.37,-1.37,-0.35,-0.73
"Tsc22d1",0.26,1.3,1.3,1.5,-1.44,-0.58,-0.79,-1.1,-0.21,-0.03,-0.2
"Mitf",0.78,1.68,1.18,0.83,-1.79,-0.47,-0.5,-0.65,-0.5,-0.33,-0.24
"E2f8",0.1,1.34,1.26,1.13,-2.08,-0.29,-0.1,-0.51,-0.8,0.03,-0.09
"Arid2",-0.02,0.41,1.52,1.8,-0.67,-0.26,-0.24,-1.52,0.07,0.08,-1.18
"Rfx5",0.8,1.09,1.59,1,-0.81,0.11,-0.65,-0.88,0,-0.73,-1.5
"Zfp422",0.01,0.88,1.6,1.42,-0.43,-0.31,-0.74,-0.17,0.25,-0.72,-1.79
"Trafd1",0.93,1.32,1.31,1.21,-1.48,-0.95,-0.55,-0.41,-0.36,-0.55,-0.46
"Tcf4",0.95,1.33,1.45,1.12,-1.29,-0.78,-0.61,-0.36,-0.4,-0.87,-0.53
"Batf2",0.85,1.34,1.4,1.28,-1.06,-0.54,-0.43,-0.52,-0.42,-0.97,-0.94
"Pou3f1",0.51,1.45,1.5,1.26,-1.14,-0.63,-0.38,-0.36,-0.43,-1.08,-0.71
"Irf1",0.66,1.36,1.5,1.36,-1.02,-0.7,-0.78,-0.73,-0.74,-0.45,-0.47
"Mbnl2",1.09,1.37,1.3,1.24,-1.03,-0.6,-0.76,-0.66,-0.61,-0.75,-0.58
"Lhx2",0.86,1.36,1.46,1.18,-0.93,-0.9,-0.88,-0.9,-0.16,-0.64,-0.46
"Max",1.1,1.31,1.26,1.26,-1.19,-0.84,-0.68,-0.8,-0.63,-0.43,-0.36
"Gatad2a",1,1.3,1.29,1.27,-0.93,-1.07,-0.87,-0.81,-0.59,-0.5,-0.11
"Mafk",0.71,1.28,1.36,1.31,-0.87,-1.04,-0.95,-1.13,-0.47,0.04,-0.26
"Junb",1.15,1.31,1.17,1.29,-0.55,-0.94,-1.01,-1.04,-0.57,-0.44,-0.39
"Zfp207",1.2,1.16,1.3,1.26,-0.88,-0.62,-0.9,-0.9,-0.95,-0.27,-0.41
"Mycl",1.16,0.13,1.3,1.74,-1.05,-1.03,-0.39,-1.03,0.05,-0.13,-0.75
"Rel",1.31,0.73,1.49,1.2,-0.42,-0.89,-0.39,-1.18,-0.83,-0.07,-0.96
"Zfp558",1.45,0.27,1.18,1.7,-0.81,-0.42,-0.75,-0.98,-0.1,-0.85,-0.68
"Zfp131",1.42,0.76,1.09,1.33,-0.57,-0.52,-0.5,-1.16,0.23,-0.93,-1.15
"Prdm1",0.81,1.24,1.33,1.4,-0.75,-0.22,-1.19,-1.01,-0.22,-0.78,-0.61
"Setdb2",0.88,1.17,1.4,1.46,-0.99,-0.67,-0.87,-0.7,-0.29,-0.6,-0.8
"Tfec",1.11,1.16,1.14,1.47,-0.85,-0.71,-1.05,-0.84,-0.21,-0.33,-0.89
"Gabpa",0.82,0.63,1.36,1.81,-1,-0.02,-0.69,-0.97,-0.39,-0.68,-0.87
"Gtf2b",1.16,1.03,1.4,1.23,-1.37,-0.32,-0.43,-0.97,-0.55,-0.56,-0.62
"Safb",0.46,1.42,0.91,0.89,0.13,-1.16,-0.62,-0.81,1.05,-0.91,-1.35
"Six1",1.4,1.25,1.12,0.86,0.19,-0.55,-0.93,-1.24,-0.28,-0.84,-0.98
"Fosl1",0.95,1.45,0.86,1.14,0.44,-0.91,-0.92,-1.31,-0.49,-1.05,-0.17
"Zfp143",0.89,1.13,1.38,0.83,0.61,-0.66,-0.85,-1.39,-0.42,-1.28,-0.23
"Csrnp1",1.14,0.75,1.1,0.9,1.17,-0.82,-0.98,-0.7,-0.32,-1.11,-1.14
"Jdp2",1.26,0.49,1.35,1.13,0.31,-1.32,-0.57,-0.96,0.23,-1.15,-0.78
"Dr1",0.6,0.95,1.42,1.34,0.13,0.07,-0.6,-0.56,-1.53,-0.57,-1.25
"Gpbp1",0.75,0.19,1.53,1.28,0.72,0.07,-1.01,-0.94,-1.4,-0.19,-1.01
"Lcor",1.07,1.3,0.69,1.18,0.69,-1.08,-0.33,-0.45,-0.97,-0.76,-1.34
"E2f5",0.86,1.07,0.76,1.6,0.31,-0.49,-0.53,-0.56,-0.19,-1.35,-1.49
"Rbpj",1.03,1.12,1.15,1.11,0.31,-0.18,-0.56,-0.32,-0.93,-1.36,-1.37
"Ets2",1.47,1.14,1.07,0.94,0.2,-0.56,-0.53,-0.47,-0.84,-1.05,-1.37
"Skil",1.14,1.2,1.2,1.11,0.09,-0.36,-0.77,-0.64,-0.43,-1.17,-1.37
"Batf",2.15,0.43,0.83,0.84,0.08,-0.67,-0.47,-0.39,-0.49,-1.07,-1.25
"Hif1a",1.37,0.34,0.83,0.91,1.02,-0.2,-0.16,-1.09,-0.4,-0.75,-1.86
"Crem",0.32,1,1.83,0.96,0.38,-0.4,-0.6,-0.36,-1.58,-1.03,-0.51
"Tgif1",0.19,1.08,1.71,1.21,0.11,-0.88,-0.32,-0.26,-1.66,-0.67,-0.52
"Nfkb1",1.08,1.33,1.29,1.3,-0.56,-0.52,-0.78,-0.75,-0.95,-0.77,-0.67
"Ikzf1",0.92,1.07,1.64,1.3,-0.69,-0.5,-0.6,-0.88,-0.82,-0.62,-0.83
"Klf3",1.01,1.17,1.38,1.34,-0.61,-0.18,-0.55,-0.91,-0.96,-0.78,-0.92
"Cggbp1",0.88,1.2,1.38,1.33,0.12,-0.55,-0.91,-0.81,-0.95,-0.89,-0.79
"Rela",0.78,1.51,1.24,1.29,-0.2,-0.37,-0.78,-0.96,-0.99,-0.9,-0.62
"Mtf2",0.73,1.21,1.4,1.45,-0.28,-0.21,-0.71,-0.83,-1.06,-0.95,-0.77
"Zfp513",0.66,1.74,1.06,1.33,-0.61,-0.64,-0.81,-0.46,-1.13,-0.43,-0.72
"Nfxl1",0.74,1.4,1.55,1.14,-0.64,-0.54,-0.95,-0.35,-0.59,-0.62,-1.15
"Nfkb2",0.91,1.41,1.37,1.27,-0.49,-0.7,-0.77,-0.63,-0.54,-0.89,-0.96
"Relb",0.79,1.4,1.45,1.2,-0.29,-0.58,-0.74,-0.58,-0.63,-0.73,-1.28
"Zfand5",0.24,1.54,1.3,0.86,0.59,-0.97,-1.27,-1.34,-0.51,-0.42,-0.02
"Ahr",0.29,1.11,1.45,1.31,0.62,-0.58,-1.19,-1.11,-0.24,-0.69,-0.97
"Atf4",0.48,1.2,1.16,1.29,0.89,-1.12,-1.17,-0.82,-0.73,-0.66,-0.53
"Trps1",-0.3,1.18,1.38,1.82,-0.27,-0.5,-0.33,-0.96,-0.24,-1.28,-0.51
"Msantd3",0.63,1.5,1.23,1.2,0.07,-0.71,-0.58,-0.41,-0.43,-1.37,-1.15
"Nfe2l1",0.47,1.5,1.37,1.39,-0.42,-0.76,-0.61,-0.27,-0.62,-1.16,-0.89
"Maff",0.47,1.34,1.51,1.2,0.25,-1.12,-0.8,-0.88,-0.57,-1.02,-0.39
"Cebpb",0.93,1.3,1.29,1.15,0.1,-1.1,-0.68,-0.58,-0.28,-1.24,-0.89
"Creb5",0.66,1.27,1.36,1.17,0.2,-1.41,-0.67,-0.6,-0.03,-1.08,-0.86
"Zfp382",0.47,1.31,1.34,1.58,-0.42,-0.92,-0.83,-0.92,-0.69,-0.85,-0.06
"Creb3",0.25,1.94,1.2,1,-0.43,-1.14,-0.58,-0.93,-0.25,-0.99,-0.07
"Zfp263",-0.06,1.75,1.61,1.12,-0.32,-0.9,-0.8,-0.41,-0.69,-0.52,-0.78
"Zup1",0.45,1.29,1.56,1.45,-0.47,-0.61,-0.66,-0.82,-0.28,-0.99,-0.9
"Zfp800",0.47,1.33,1.58,1.26,-0.39,-0.75,-1.12,-1.04,0,-0.59,-0.75
"Nr4a3",1.66,0.88,1.24,1.09,-0.6,-0.58,-1.05,-1.02,-0.36,-0.66,-0.59
"Mxd1",1.9,0.95,1.11,0.91,-0.68,-0.59,-0.84,-0.62,-0.63,-0.77,-0.74
"Stat3",1.61,1.14,1.13,0.93,-0.43,-0.97,-0.43,-0.48,-0.34,-1.06,-1.1
"Rexo4",1.55,1.05,1.28,0.9,-0.72,-0.74,-0.59,-0.45,-0.09,-1.09,-1.1
"Stat5a",1.49,1.12,1.27,1.11,-0.7,-0.67,-0.59,-0.88,-0.52,-0.78,-0.86
