"","T_PCD11_LMoDC_1","T_PCD11_LMoDC_2","T_PCD11_LMoDC_3","T_PCD11_LMoDC_4","T_PCD11_LCD11_1","T_PCD11_LCD11_2","T_PCD11_LCD11_3","T_PCD11_LCD11_4","T_PimedMoDC_1","T_PimedMoDC_2","T_PimedMoDC_3","T_PimedMoDC_4","T_PimedCD11c_1","T_PimedCD11c_2","T_PimedCD11c_3","T_PimedCD11c_4"
"0610005C13Rik",0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0
"0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009E02Rik",1,5,0,0,1,3,3,5,1,2,1,3,0,2,2,2
"0610009L18Rik",4,3,0,6,5,7,7,5,11,26,23,24,19,14,13,9
"0610010K14Rik",0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,1
"0610012D04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",52,30,8,30,65,74,55,80,43,77,72,88,33,73,63,39
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610033M10Rik",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5
"0610038B21Rik",0,1,0,0,1,2,2,1,2,0,4,3,1,2,1,1
"0610039K10Rik",0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,2
"0610040B10Rik",4,1,1,3,5,3,2,2,1,6,4,4,5,0,3,3
"0610040F04Rik",0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0
"0610040J01Rik",0,0,1,0,0,0,0,0,5,2,1,1,1,5,2,0
"0610043K17Rik",2,1,0,2,1,2,0,0,2,1,1,0,1,0,1,0
"0710001A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010001B22Rik",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1100001I12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1110002J07Rik",0,1,0,1,0,3,3,2,3,12,9,8,0,0,1,1
"1110002L01Rik",15,1,8,7,12,7,7,14,10,16,10,19,4,8,7,8
"1110002O04Rik",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1110003F10Rik",2,6,0,4,5,6,6,6,4,10,14,3,1,3,5,2
"1110004F10Rik",245,137,142,144,375,328,280,379,253,430,433,527,224,360,330,272
"1110006O24Rik",3,0,1,3,3,7,7,5,1,10,4,9,2,8,6,3
"1110008E08Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110013H19Rik",4,2,0,1,4,5,5,4,1,2,2,11,1,4,4,2
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1110017D15Rik",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"1110018N20Rik",0,1,0,0,2,0,1,3,1,1,1,1,1,2,4,1
"1110019B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110019D14Rik",0,0,0,0,0,1,1,2,2,4,2,6,0,1,1,1
"1110020A21Rik",2,0,2,2,6,6,2,4,5,3,7,6,3,3,4,3
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110025M09Rik",6,3,2,3,12,4,6,5,8,13,14,14,8,4,10,11
"1110028F11Rik",0,1,1,1,2,0,2,2,0,2,1,1,0,4,3,0
"1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110032F04Rik",45,13,22,18,23,14,22,26,26,40,33,42,10,18,12,14
"1110035H17Rik",11,1,1,9,14,18,20,26,11,29,14,26,20,30,14,14
"1110038B12Rik",295,110,109,218,618,510,425,498,207,366,334,421,210,234,270,190
"1110038F14Rik",122,60,59,90,221,166,145,181,129,232,221,290,100,139,161,108
"1110046J04Rik",0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0
"1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",2,1,1,1,2,2,0,1,0,2,5,4,2,1,0,3
"1110059G10Rik",76,33,25,22,114,103,89,96,94,247,177,205,73,102,111,89
"1110060G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110065P20Rik",50,17,32,39,108,103,60,70,63,106,60,108,49,56,67,57
"1190001M18Rik",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"1190005I06Rik",1,1,1,0,5,1,3,3,1,1,1,2,1,2,1,1
"1190028D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1200007C13Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1300002E11Rik",20,5,11,13,42,19,20,28,25,60,45,61,23,27,27,20
"1300014J16Rik",4,0,0,0,0,0,1,1,0,0,2,0,1,1,2,0
"1500002C15Rik",0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1
"1500002F19Rik",0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0
"1500004A13Rik",0,0,0,0,1,0,0,0,0,2,2,4,1,0,2,0
"1500005C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500009L16Rik",5,4,5,3,8,4,2,5,1,6,6,10,2,5,6,2
"1500011B03Rik",88,35,41,40,76,74,46,62,70,124,113,123,60,99,79,71
"1500012K07Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1500015A07Rik",20,5,2,5,13,12,15,11,10,19,13,16,8,10,8,12
"1500015L24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500026H17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500032F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500035N22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600002D24Rik",1,0,0,0,0,2,0,1,1,1,1,1,0,0,0,1
"1600010M07Rik",4,2,1,2,3,4,1,5,3,9,7,5,5,5,7,2
"1600012H06Rik",58,27,32,20,88,81,62,75,46,82,68,86,40,64,47,31
"1600012P17Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1600014C10Rik",340,215,145,172,134,205,102,114,174,384,435,380,132,320,223,119
"1600014C23Rik",1,0,1,0,1,0,0,0,2,4,3,5,0,0,0,1
"1600017P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",84,27,30,39,123,113,77,89,47,79,93,92,38,41,51,38
"1600022D10Rik",0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0
"1600023N17Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1
"1700001C19Rik",0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001G11Rik",1,1,0,0,5,3,2,6,2,4,1,5,0,2,1,3
"1700001G17Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700001J03Rik",0,0,0,0,0,1,0,0,2,1,3,1,0,0,1,0
"1700001J04Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K23Rik",0,0,0,1,4,0,0,3,0,1,0,1,3,1,0,2
"1700001L05Rik",5,3,3,1,7,3,6,2,2,1,8,7,2,7,9,3
"1700001N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001O22Rik",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003E16Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,2
"1700003G18Rik",0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003I16Rik",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003M07Rik",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1700003N22Rik",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
"1700003O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006J14Rik",1,1,2,6,1,5,7,4,2,5,4,8,1,5,4,7
"1700006P03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007E05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007J10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007L15Rik",6,5,4,3,10,10,8,14,13,20,25,27,11,18,19,13
"1700007M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007P06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008B11Rik",1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"1700008C04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008H02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008J07Rik",12,4,6,10,16,20,9,15,13,13,10,19,9,11,13,7
"1700008K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",1,0,1,1,2,0,1,2,0,0,1,0,0,0,1,1
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B13Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010G06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",3,1,4,5,10,8,7,13,5,9,12,9,3,8,8,2
"1700010J16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010K24Rik",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"1700010L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,4,6,0,6,0,0,0,0,2,0,0,0
"1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011D18Rik",0,0,0,0,2,1,1,0,0,1,1,3,0,2,0,0
"1700011L03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",2,0,0,0,0,0,1,0,3,4,6,8,1,1,0,1
"1700012B09Rik",5,0,4,5,12,10,7,6,2,5,6,7,3,6,10,6
"1700012C08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012C14Rik",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700012D16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012E03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012J15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012J22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013M08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700013N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1700014D04Rik",0,0,0,1,0,0,0,0,2,2,1,0,0,2,0,0
"1700014F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015C17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1700015H07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015I17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015O11Rik",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"1700016A09Rik",0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1
"1700016B01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016B15Rik",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016D08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016F12Rik",1,0,1,2,1,6,6,8,0,2,0,4,2,2,4,2
"1700016G22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016H03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700016J18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1700016P03Rik",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017B05Rik",169,81,59,94,298,235,157,182,146,256,224,283,132,200,168,147
"1700017G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017I07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017L05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017M07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018A23Rik",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"1700018B08Rik",0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018L02Rik",0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,2
"1700018P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"1700019A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"1700019E08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019J19Rik",0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,1
"1700019L13Rik",2,2,0,4,2,6,0,0,3,2,4,3,0,2,2,1
"1700019M22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019P21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020D14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020G03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020L13Rik",0,1,0,3,2,2,0,0,0,0,1,2,2,3,3,0
"1700020L24Rik",54,30,32,26,149,200,107,88,14,54,46,43,52,120,129,57
"1700020M21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700020N01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"1700021A07Rik",0,0,0,0,0,0,0,0,2,0,1,2,1,2,0,0
"1700021F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021G15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021J08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021L23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021N21Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700021P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"1700022N22Rik",4,1,1,0,3,2,5,1,2,6,4,3,0,2,2,2
"1700023C21Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023G09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700023H06Rik",1,1,0,0,0,1,0,0,1,0,0,2,2,0,1,1
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024B18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024I08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025A08Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025D23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",22,6,2,8,25,17,26,25,39,62,54,65,13,19,24,6
"1700025H01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025K04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025N21Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025N23Rik",1,4,0,0,0,1,1,0,3,3,3,0,0,1,1,0
"1700025O08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026D11Rik",1,0,0,0,2,1,0,0,2,2,1,4,0,2,1,1
"1700026F02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026J12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026J14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700026N04Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1700027A07Rik",1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"1700027F06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700027J07Rik",0,1,0,2,0,2,0,3,5,2,6,6,0,0,5,4
"1700028B04Rik",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028E10Rik",2,1,0,2,6,8,1,3,3,9,11,6,5,11,3,2
"1700028I16Rik",1,0,0,0,2,2,1,1,1,4,2,4,2,1,3,1
"1700028J19Rik",2,0,1,1,6,6,2,1,4,3,1,4,1,6,1,4
"1700028K03Rik",0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
"1700028M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700028N14Rik",0,0,0,3,2,1,2,2,6,3,5,5,1,3,2,2
"1700028P15Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029B24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029E06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"1700029J03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029J07Rik",1,0,0,1,4,2,0,0,5,7,4,6,1,3,3,4
"1700029M03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029M20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030C10Rik",0,0,0,0,2,1,1,1,1,2,0,1,0,0,3,0
"1700030C12Rik",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"1700030C14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030F04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030J22Rik",5,0,1,3,3,1,2,1,2,3,3,1,2,3,1,0
"1700030K09Rik",24,17,18,14,37,29,33,35,37,64,50,71,49,31,31,29
"1700030L20Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700030L22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030N18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031F10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031L13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,2,1,2,2,1,0,3,0,1,0,2
"1700034B16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034H15Rik",0,0,0,1,0,0,6,0,0,0,2,0,0,0,2,0
"1700034J04Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700034J05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034P13Rik",1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"1700036A12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700036G14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700036O09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
