,TF,Total_Num_Targets,Num_Targets_DE,p-value,Adj. p-value
60,Irf4,7,7,7.910282549867547e-07,0.0002808150305202979
61,Atf3,9,8,8.420469549136289e-07,0.00029892666899433826
62,Srf,30,15,1.7391088404472206e-06,0.0006173836383587633
63,Stat5b,21,12,3.0997914732002333e-06,0.001100425972986083
64,Stat4,10,8,3.708489501408614e-06,0.001316513773000058
65,Nfya,10,8,3.708489501408614e-06,0.001316513773000058
66,Irf2,8,7,5.584522419788526e-06,0.0019825054590249264
67,Thap11,6,6,5.888860968032814e-06,0.002090545643651649
68,Esr2,19,11,6.826694918627529e-06,0.002423476696112773
69,Ets2,30,14,1.0755993792295843e-05,0.0038183777962650244
70,Cebpb,46,18,1.2956342450389742e-05,0.0045995015698883585
71,Jund,20,11,1.3318931256501323e-05,0.0047282205960579695
72,Smad4,35,15,1.873418142024725e-05,0.006650634404187774
73,Pax5,9,7,2.218318654685066e-05,0.007875031224131985
74,Nfatc1,9,7,2.218318654685066e-05,0.007875031224131985
75,Pou2f2,9,7,2.218318654685066e-05,0.007875031224131985
76,Erg,21,11,2.4559985018132506e-05,0.008718794681437039
77,E2f3,12,8,3.167203839308443e-05,0.011243573629544973
78,Smad1,7,6,3.647585724630919e-05,0.012948929322439762
79,Nfyb,7,6,3.647585724630919e-05,0.012948929322439762
80,Myb,29,13,3.789052475543729e-05,0.013451136288180237
81,Cebpe,5,5,4.383487545773352e-05,0.0155613807874954
82,Relb,13,8,7.258539130575501e-05,0.025767813913543026
83,Wt1,31,13,8.858062584772158e-05,0.031446122175941164
84,Rel,20,10,9.702767657072626e-05,0.03444482518260782
85,Pparg,48,17,9.897095307223993e-05,0.035134688340645176
86,Maz,8,6,0.0001291498617258711,0.045848200912684246
87,Crem,8,6,0.0001291498617258711,0.045848200912684246
88,Tbp,8,6,0.0001291498617258711,0.045848200912684246
